country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Italy,Belgium,73,52,0607,4,Beatrice Stroscio,11:41,9,4/5,3/3,1/2,0/1,0,2,2,0,1,0,0,0,12,9
Italy,Belgium,73,52,0607,5,Alessandra Orsili,20:38,8,3/7,2/4,1/3,1/2,1,2,3,2,3,1,2,0,16,9
Italy,Belgium,73,52,0607,6,Silvia Nativi,11:47,0,0/2,0/0,0/2,0/0,0,4,4,0,0,0,0,0,6,2
Italy,Belgium,73,52,0607,7,Caterina Gilli,22:16,9,3/7,2/6,1/1,2/4,2,6,8,3,3,2,4,1,9,17
Italy,Belgium,73,52,0607,9,Giulia Natali,25:27,10,4/9,4/7,0/2,2/2,0,2,2,4,2,1,4,0,14,14
Italy,Belgium,73,52,0607,10,Francesca Leonardi,13:17,3,1/3,1/1,0/2,1/2,1,1,2,0,2,0,0,0,1,2
Italy,Belgium,73,52,0607,11,Silvia Pastrello,20:00,7,3/4,3/4,0/0,1/4,1,5,6,0,0,1,3,2,8,13
Italy,Belgium,73,52,0607,12,Martina Spinelli,22:39,4,1/6,1/6,0/0,2/2,1,1,2,1,4,4,0,0,10,-2
Italy,Belgium,73,52,0607,14,Ilaria Panzera,22:18,17,6/9,3/5,3/4,2/4,1,3,4,2,0,4,1,0,15,15
Italy,Belgium,73,52,0607,15,Clara Rosini,04:30,0,0/1,0/1,0/0,0/0,1,0,1,2,0,0,0,0,7,2
Italy,Belgium,73,52,0607,16,Lucia Adele Savatteri,09:45,0,0/1,0/1,0/0,0/0,2,2,4,0,0,1,0,0,6,2
Italy,Belgium,73,52,0607,18,Meriem Nasraoui,15:42,6,3/6,3/6,0/0,0/0,0,1,1,0,1,1,1,0,1,4
Belgium,Italy,52,73,0607,4,Kyra Billiaert,05:05,0,0/0,0/0,0/0,0/0,0,1,1,0,1,0,0,0,-1,1
Belgium,Italy,52,73,0607,5,Merel Knaepen,11:44,3,1/3,1/2,0/1,1/1,2,1,3,2,2,1,1,0,-6,6
