country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Sweden,Slovakia,74,57,1706,4,Nathalie Fontaine,29:24,9,4/5,3/3,1/2,0/0,0,5,5,0,0,0,2,0,28,15
Sweden,Slovakia,74,57,1706,5,Kalis Loyd,24:33,4,2/10,2/8,0/2,0/0,5,1,6,1,2,0,1,0,22,4
Sweden,Slovakia,74,57,1706,6,Frida Eldebrink,32:58,17,6/15,3/7,3/8,2/2,0,3,3,7,1,1,3,0,22,20
Sweden,Slovakia,74,57,1706,7,Klara Lundquist,17:43,5,2/7,1/5,1/2,0/0,1,2,3,2,2,0,1,1,-7,7
Sweden,Slovakia,74,57,1706,8,Ellen Nystrom,08:20,5,2/4,1/1,1/3,0/0,0,0,0,0,1,1,0,0,-11,2
Sweden,Slovakia,74,57,1706,9,Elin Eldebrink,28:12,15,7/15,7/14,0/1,1/1,0,1,1,7,0,2,2,0,15,15
Sweden,Slovakia,74,57,1706,10,Binta Drammeh,09:25,4,1/1,1/1,0/0,2/2,0,0,0,1,1,2,0,0,-7,3
Sweden,Slovakia,74,57,1706,12,Matilda Ekh,08:18,3,1/2,0/0,1/2,0/0,0,1,1,1,1,0,0,0,2,4
Sweden,Slovakia,74,57,1706,16,Stephanie Visscher,01:07,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,4,-1
Sweden,Slovakia,74,57,1706,22,Emma  Johansson,19:40,6,3/3,3/3,0/0,0/0,0,3,3,0,2,1,1,0,13,9
Sweden,Slovakia,74,57,1706,24,Paulina Frida Hersler,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Sweden,Slovakia,74,57,1706,58,Alice Nystrom,20:20,6,2/4,2/4,0/0,2/2,5,2,7,2,2,1,0,0,4,12
Slovakia,Sweden,57,74,1706,3,Ivana Jakubcova,23:21,17,6/9,5/8,1/1,4/4,3,5,8,0,3,2,1,1,-6,22
Slovakia,Sweden,57,74,1706,4,Veronika Remenarova,12:08,2,1/1,1/1,0/0,0/2,2,3,5,1,0,0,0,0,-4,6
Slovakia,Sweden,57,74,1706,5,Radka Stasova,21:06,3,1/4,0/1,1/3,0/0,0,2,2,1,0,2,0,0,-18,1
Slovakia,Sweden,57,74,1706,6,Timea Sujova,18:35,0,0/3,0/0,0/3,0/0,0,0,0,1,3,0,0,0,-2,-2
Slovakia,Sweden,57,74,1706,8,Natalia Martisková,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Slovakia,Sweden,57,74,1706,9,Terezia Palenikova,25:03,8,3/10,3/8,0/2,2/2,1,0,1,1,1,1,0,0,-13,2
Slovakia,Sweden,57,74,1706,11,Sabina Oroszova,27:52,3,1/4,0/1,1/3,0/0,4,3,7,1,2,2,1,0,-13,7
Slovakia,Sweden,57,74,1706,13,Miroslava Prazenicova,25:44,5,2/4,2/3,0/1,1/2,0,2,2,2,2,3,0,1,-10,4
Slovakia,Sweden,57,74,1706,14,Michaela Fekete,12:09,10,4/9,4/8,0/1,2/2,1,2,3,0,0,1,0,1,-1,8
Slovakia,Sweden,57,74,1706,15,Nikola Kovacikova,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Slovakia,Sweden,57,74,1706,16,Alica Moravcikova,04:30,0,0/1,0/1,0/0,0/0,0,1,1,1,2,0,0,0,-10,1
Slovakia,Sweden,57,74,1706,77,Nikola Dudasova,29:32,9,4/10,3/5,1/5,0/2,0,0,0,7,2,2,0,0,-8,6
Russia,Czech Republic,73,69,1706,1,Daria Kurilchuk,05:07,0,0/1,0/0,0/1,0/0,0,0,0,1,0,1,0,0,0,-1
Russia,Czech Republic,73,69,1706,4,Raisa Musina,25:22,8,4/14,4/11,0/3,0/0,3,5,8,2,0,2,0,0,-4,6
Russia,Czech Republic,73,69,1706,5,Marina Goldyreva,15:33,11,4/7,1/3,3/4,0/0,3,1,4,2,3,2,0,0,3,12
Russia,Czech Republic,73,69,1706,6,Kamilla Ogun,05:57,2,1/4,1/4,0/0,0/0,0,0,0,1,3,0,0,0,-3,0
Russia,Czech Republic,73,69,1706,7,Maria Vadeeva,31:51,27,11/19,11/18,0/1,5/7,6,8,14,2,3,5,0,1,0,29
Russia,Czech Republic,73,69,1706,8,Ekaterina Fedorenkova,04:34,0,0/1,0/0,0/1,0/0,0,0,0,1,0,0,0,0,0,0
Russia,Czech Republic,73,69,1706,10,Anastasiia Shilova,30:29,7,2/8,0/1,2/7,1/2,0,1,1,2,3,1,1,0,-7,3
Russia,Czech Republic,73,69,1706,22,Elizaveta Komarova,24:49,1,0/5,0/4,0/1,1/1,1,2,3,4,4,1,2,0,22,4
Russia,Czech Republic,73,69,1706,55,Nina Glonti,20:01,7,3/4,2/2,1/2,0/0,2,4,6,0,3,1,0,0,-3,11
Russia,Czech Republic,73,69,1706,63,Aleksandra Shtanko,11:45,6,3/4,3/3,0/1,0/0,0,2,2,0,0,0,1,0,9,8
Russia,Czech Republic,73,69,1706,97,Elizaveta Shabanova,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Russia,Czech Republic,73,69,1706,99,Kseniia Levchenko,24:33,4,1/6,1/5,0/1,2/2,0,1,1,1,1,0,1,0,3,2
Czech Republic,Russia,69,73,1706,0,Renata Brezinova,20:34,2,1/4,1/3,0/1,0/0,0,2,2,3,3,2,1,0,-12,3
Czech Republic,Russia,69,73,1706,4,Gabriela Andelova,04:30,3,1/2,0/1,1/1,0/0,0,0,0,0,0,1,0,0,-3,1
Czech Republic,Russia,69,73,1706,5,Romana Hejdova,23:37,8,4/10,4/5,0/5,0/0,2,2,4,0,0,2,1,0,-8,5
Czech Republic,Russia,69,73,1706,6,Kristyna Brabencova,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Czech Republic,Russia,69,73,1706,7,Alena Hanusova,29:24,24,7/9,4/6,3/3,7/7,0,6,6,1,2,2,1,1,-4,29
Czech Republic,Russia,69,73,1706,8,Veronika Vorackova,28:39,6,3/9,3/5,0/4,0/0,0,2,2,1,1,1,3,1,2,6
Czech Republic,Russia,69,73,1706,10,Eliska Hamzova,07:56,1,0/1,0/1,0/0,1/2,0,1,1,2,1,1,0,0,-6,1
Czech Republic,Russia,69,73,1706,11,Katerina Elhotova,24:16,15,5/10,1/4,4/6,1/1,0,2,2,0,5,0,0,0,-4,12
Czech Republic,Russia,69,73,1706,12,Tereza Vyoralova,30:51,8,3/4,3/4,0/0,2/2,1,6,7,5,2,1,1,1,7,20
Czech Republic,Russia,69,73,1706,18,Natalie Stoupalova,10:14,0,0/2,0/2,0/0,0/0,1,3,4,1,0,1,0,0,8,2
Czech Republic,Russia,69,73,1706,21,Veronika Sipova,05:13,2,1/2,1/2,0/0,0/0,0,1,1,0,0,0,0,0,0,2
Czech Republic,Russia,69,73,1706,44,Julia Reisingerova,14:46,0,0/7,0/6,0/1,0/0,0,0,0,3,3,1,0,0,0,-5
Montenegro,Greece,70,55,1706,1,Jelena Dubljevic,33:49,7,2/10,2/7,0/3,3/4,3,4,7,2,2,2,2,0,13,7
Montenegro,Greece,70,55,1706,5,Jovana Pasic,31:28,16,6/9,3/5,3/4,1/1,2,4,6,2,3,0,1,0,22,22
Montenegro,Greece,70,55,1706,8,Dragana Zivkovic,04:36,2,1/2,1/2,0/0,0/0,3,0,3,1,0,1,0,0,-4,4
Montenegro,Greece,70,55,1706,9,Snezana Aleksic,14:00,0,0/3,0/1,0/2,0/0,0,3,3,1,1,1,0,0,-3,0
Montenegro,Greece,70,55,1706,10,Kristina Rakovic,04:58,0,0/1,0/0,0/1,0/0,0,1,1,1,1,0,1,0,4,2
Montenegro,Greece,70,55,1706,11,Bozica Mujovic,30:35,12,5/18,5/14,0/4,2/2,0,1,1,8,2,3,1,0,14,6
Montenegro,Greece,70,55,1706,12,Milena Jaksic,00:28,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Montenegro,Greece,70,55,1706,13,Bojana Kovacevic,16:54,4,2/4,2/4,0/0,0/0,5,2,7,1,1,1,1,0,-2,10
Montenegro,Greece,70,55,1706,19,Violeta Lazarevic,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Montenegro,Greece,70,55,1706,25,Marija Lekovic,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Montenegro,Greece,70,55,1706,30,Milica Jovanovic,38:53,19,6/11,2/3,4/8,3/4,0,8,8,0,1,3,1,1,16,20
Montenegro,Greece,70,55,1706,34,Markeisha Gatling,24:19,10,5/7,5/7,0/0,0/0,3,2,5,0,4,3,1,0,15,11
Greece,Montenegro,55,70,1706,4,Anna Stamolamprou,17:32,2,1/5,1/2,0/3,0/0,0,0,0,0,2,0,0,1,-4,-1
Greece,Montenegro,55,70,1706,5,Eleni Bosgana,04:05,0,0/0,0/0,0/0,0/0,0,1,1,0,1,0,0,0,-6,1
Greece,Montenegro,55,70,1706,6,Dionysia Alexandri,05:24,1,0/1,0/1,0/0,1/2,0,0,0,0,0,0,1,0,-1,0
Greece,Montenegro,55,70,1706,8,Pinelopi Pavlopoulou,24:12,2,1/1,1/1,0/0,0/0,2,3,5,5,2,4,1,0,-9,9
Greece,Montenegro,55,70,1706,11,Angeliki Nikolopoulou,34:53,19,7/16,6/13,1/3,4/4,1,5,6,7,3,7,2,0,-14,18
Greece,Montenegro,55,70,1706,12,Aikaterina Sotiriou,31:20,4,2/6,2/5,0/1,0/0,0,5,5,0,1,0,1,1,-9,7
Greece,Montenegro,55,70,1706,13,Vasiliki Louka,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Greece,Montenegro,55,70,1706,15,Artemis Spanou,37:10,6,3/10,3/6,0/4,0/1,0,2,2,1,3,1,1,1,-18,2
Greece,Montenegro,55,70,1706,19,Christina Anastasopoulou,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Greece,Montenegro,55,70,1706,23,Elena Tsineke,07:59,0,0/1,0/1,0/0,0/0,1,0,1,0,0,0,0,1,3,1
Greece,Montenegro,55,70,1706,26,Ioanna Diela,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
