country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Malta,Denmark,58,96,2606,4,Sophie Abela,05:40,0,0/1,0/1,0/0,0/0,0,1,1,1,0,0,1,0,-3,2
Malta,Denmark,58,96,2606,5,Kristy Galea,14:54,4,1/2,0/1,1/1,1/2,0,1,1,0,0,1,0,0,-12,2
Malta,Denmark,58,96,2606,6,Ashleigh Stephanie Vella,40:00,12,4/8,4/8,0/0,4/8,2,8,10,3,3,8,1,0,-38,10
Malta,Denmark,58,96,2606,7,Samantha Maree Brincat,30:22,2,1/8,1/4,0/4,0/0,1,1,2,7,3,1,0,0,-30,3
Malta,Denmark,58,96,2606,8,Maria Bonett,04:46,0,0/2,0/2,0/0,0/0,0,0,0,0,1,1,0,0,-11,-3
Malta,Denmark,58,96,2606,9,Stephanie De Martino,34:40,11,5/11,4/7,1/4,0/0,0,3,3,1,0,2,1,0,-30,8
Malta,Denmark,58,96,2606,10,Christina Grima,27:30,12,6/11,6/11,0/0,0/0,0,2,2,1,4,2,1,1,-23,10
Malta,Denmark,58,96,2606,11,Leanne Sciberras,02:37,0,0/1,0/1,0/0,0/0,0,0,0,0,0,0,0,0,3,-1
Malta,Denmark,58,96,2606,12,Gabriella Mifsud,04:37,0,0/0,0/0,0/0,0/0,0,0,0,0,1,2,0,0,-14,-2
Malta,Denmark,58,96,2606,13,Hannah Al Tumi,02:13,0,0/1,0/1,0/0,0/0,0,0,0,0,0,1,0,0,-7,-2
Malta,Denmark,58,96,2606,14,Josephine Grima,27:25,15,6/8,6/7,0/1,3/4,2,5,7,4,4,3,3,0,-21,23
Malta,Denmark,58,96,2606,15,Christina Curmi,05:12,2,1/2,1/2,0/0,0/0,0,1,1,1,1,0,0,0,-4,3
Denmark,Malta,96,58,2606,1,Emilie Hesseldal,14:55,8,3/4,3/4,0/0,2/3,2,3,5,1,2,2,3,0,29,13
Denmark,Malta,96,58,2606,4,Line  Piechnik,16:25,6,2/3,0/0,2/3,0/0,0,0,0,0,0,1,0,0,14,4
Denmark,Malta,96,58,2606,5,Ida  Preetzmann,16:07,16,5/8,1/1,4/7,2/2,0,0,0,1,1,4,1,0,17,11
Denmark,Malta,96,58,2606,6,Camilla  Frommelt,12:19,2,1/4,1/3,0/1,0/0,0,0,0,0,1,2,0,0,6,-3
Denmark,Malta,96,58,2606,8,Ida Krogh,14:34,4,2/4,2/4,0/0,0/0,0,2,2,2,0,1,1,0,5,6
Denmark,Malta,96,58,2606,9,Ena Viso,10:10,0,0/3,0/1,0/2,0/0,0,0,0,2,0,0,0,0,2,-1
Denmark,Malta,96,58,2606,10,Maria  Jespersen,22:23,19,6/10,6/8,0/2,7/7,2,8,10,5,0,1,1,0,26,30
Denmark,Malta,96,58,2606,11,Gritt  Ryder,19:34,8,1/4,0/1,1/3,5/6,2,4,6,5,2,0,3,0,22,18
Denmark,Malta,96,58,2606,21,Anna  Seilund,22:28,9,3/8,1/3,2/5,1/2,0,2,2,4,0,0,0,0,30,9
Denmark,Malta,96,58,2606,23,Simona Bartkova,20:43,4,2/3,2/3,0/0,0/0,3,3,6,1,3,1,2,0,12,11
Denmark,Malta,96,58,2606,24,Sofie Tryggedsson,18:46,6,2/5,0/0,2/5,0/0,1,4,5,2,3,1,0,0,14,9
Denmark,Malta,96,58,2606,33,Marian Sheikh,11:30,14,5/8,1/1,4/7,0/0,0,1,1,0,2,1,0,0,13,11
Luxembourg,Cyprus,71,49,2606,4,Svenia Nürenberg,09:54,2,1/3,1/3,0/0,0/0,1,0,1,0,1,1,2,0,2,2
Luxembourg,Cyprus,71,49,2606,5,Magaly  Meynadier,28:37,6,2/7,0/1,2/6,0/0,1,2,3,3,2,3,0,0,13,4
Luxembourg,Cyprus,71,49,2606,6,Nadia Mossong,34:04,16,6/12,5/8,1/4,3/4,2,5,7,3,3,0,4,0,21,23
Luxembourg,Cyprus,71,49,2606,7,Tessy Hetting,16:03,5,2/5,1/3,1/2,0/0,3,0,3,2,2,2,1,0,11,6
Luxembourg,Cyprus,71,49,2606,8,Cathy Schmit,21:58,6,3/6,3/5,0/1,0/0,1,4,5,0,1,1,3,0,18,10
Luxembourg,Cyprus,71,49,2606,11,Mandy Geniets,19:31,11,5/5,4/4,1/1,0/0,1,1,2,0,1,1,0,0,11,12
Luxembourg,Cyprus,71,49,2606,12,Julija Vujakovic,14:13,11,4/6,2/3,2/3,1/2,1,0,1,0,3,0,0,0,13,9
Luxembourg,Cyprus,71,49,2606,13,Lynn Kauffmann,07:42,0,0/0,0/0,0/0,0/0,0,1,1,1,0,0,0,0,3,2
Luxembourg,Cyprus,71,49,2606,15,Michele Orban,18:26,6,2/9,1/8,1/1,1/2,1,2,3,0,1,1,1,0,11,1
Luxembourg,Cyprus,71,49,2606,17,Jana Putz,12:25,1,0/1,0/0,0/1,1/2,1,0,1,1,1,0,0,0,2,1
Luxembourg,Cyprus,71,49,2606,18,Anne Simon,15:30,7,2/8,1/3,1/5,2/2,0,0,0,3,3,3,0,0,4,1
Luxembourg,Cyprus,71,49,2606,20,Amra Hasanovic,01:31,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,1,-1
Cyprus,Luxembourg,49,71,2606,4,Eleni Oikonomidou,20:18,4,2/3,2/3,0/0,0/0,1,0,1,1,1,2,1,0,-13,4
Cyprus,Luxembourg,49,71,2606,5,Christiana Menelaou,23:03,2,1/4,1/1,0/3,0/0,0,1,1,0,2,2,1,0,-18,-1
Cyprus,Luxembourg,49,71,2606,6,Antria Pitsillidou,13:37,0,0/2,0/1,0/1,0/0,0,2,2,0,3,0,0,0,-4,0
Cyprus,Luxembourg,49,71,2606,7,Veatriki Akathiotou,04:58,1,0/1,0/1,0/0,1/2,1,0,1,0,1,4,0,0,2,-4
Cyprus,Luxembourg,49,71,2606,8,Stavroula Koniali,26:44,7,1/3,1/2,0/1,5/5,0,3,3,1,4,6,1,0,-21,4
Cyprus,Luxembourg,49,71,2606,9,Sonia Papadopoulou,17:45,3,1/2,1/2,0/0,1/2,0,4,4,1,1,0,0,0,-9,6
Cyprus,Luxembourg,49,71,2606,11,Petra Orlovic,28:33,10,4/10,4/9,0/1,2/4,1,3,4,2,2,4,1,0,-19,5
Cyprus,Luxembourg,49,71,2606,13,Chara Roussaki,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
