country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Turkey,France,39,55,0608,4,Olcay Cakir,14:09,4,1/1,1/1,0/0,2/2,0,0,0,0,1,1,0,0,-12,3
Turkey,France,39,55,0608,5,Tugce Canitez,03:08,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,0,1
Turkey,France,39,55,0608,7,Birsel Vardarli Demirmen,36:12,10,2/13,0/9,2/4,4/6,1,4,5,5,2,4,1,0,-11,4
Turkey,France,39,55,0608,9,Bahar Caglar,30:10,5,2/5,2/5,0/0,1/2,0,5,5,0,2,1,0,0,-11,5
Turkey,France,39,55,0608,10,Isil Alben,24:44,0,0/6,0/5,0/1,0/2,0,5,5,2,0,1,1,0,-1,-1
Turkey,France,39,55,0608,11,Nevriye Yilmaz,38:20,16,6/12,4/8,2/4,2/2,2,4,6,2,2,3,1,2,-13,18
Turkey,France,39,55,0608,12,Lara Sanders,30:09,4,1/6,1/6,0/0,2/2,0,4,4,0,3,0,3,0,-5,6
Turkey,France,39,55,0608,13,Ayse Cora,04:55,0,0/1,0/0,0/1,0/0,1,0,1,0,1,0,1,0,-8,1
Turkey,France,39,55,0608,15,Tilbe Senyürek,02:18,0,0/1,0/1,0/0,0/0,0,0,0,0,0,0,0,0,-6,-1
Turkey,France,39,55,0608,33,Sebnem Nezahat Kimyacioglu,15:55,0,0/5,0/3,0/2,0/0,0,2,2,0,3,1,0,0,-13,-4
France,Turkey,55,39,0608,4,Isabelle Yacoubou,19:25,5,2/9,2/9,0/0,1/3,5,6,11,1,3,2,0,0,7,6
France,Turkey,55,39,0608,5,Endy Miyem,26:50,14,6/9,6/8,0/1,2/2,4,1,5,3,0,2,0,1,14,18
France,Turkey,55,39,0608,7,Sandrine Gruda,16:39,1,0/3,0/3,0/0,1/2,0,2,2,2,2,1,0,1,6,1
France,Turkey,55,39,0608,10,Sarah Michel,25:00,14,5/10,1/4,4/6,0/1,1,7,8,2,1,0,4,1,11,23
France,Turkey,55,39,0608,11,Valeriane Ayayi,22:35,9,4/10,4/7,0/3,1/2,2,5,7,0,3,2,0,0,14,7
France,Turkey,55,39,0608,12,Gaelle Skrela,15:58,0,0/2,0/2,0/0,0/0,0,0,0,1,0,0,0,0,0,-1
France,Turkey,55,39,0608,16,Hélèna Ciak,05:10,4,1/1,1/1,0/0,2/2,0,1,1,0,3,1,0,0,-8,4
France,Turkey,55,39,0608,17,Marine Johannes,16:27,0,0/4,0/3,0/1,0/0,0,4,4,0,1,2,0,0,7,-2
France,Turkey,55,39,0608,20,Amel Bouderra,14:06,4,1/3,0/0,1/3,1/1,1,1,2,2,1,1,0,0,13,5
France,Turkey,55,39,0608,22,Olivia Epoupa,25:54,4,2/7,2/5,0/2,0/0,0,3,3,5,2,0,1,0,3,8
France,Turkey,55,39,0608,25,Marielle Amant,11:56,0,0/1,0/1,0/0,0/0,0,1,1,0,1,0,0,1,13,1
China,Canada,68,90,0608,4,Zhifang Zhao,14:00,3,1/5,1/4,0/1,1/1,1,2,3,0,2,2,1,0,-13,1
China,Canada,68,90,0608,5,Xiaojia Chen,25:07,12,4/10,0/3,4/7,0/0,0,1,1,3,3,1,0,0,-13,9
China,Canada,68,90,0608,6,Shanshan Li,04:30,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,2,0
China,Canada,68,90,0608,7,Ting Shao,25:54,6,2/10,2/8,0/2,2/4,1,2,3,2,2,3,2,0,-14,0
China,Canada,68,90,0608,8,Di Wu,16:50,8,3/5,2/4,1/1,1/2,0,2,2,1,3,0,0,0,-13,8
China,Canada,68,90,0608,9,Mengxin Sun,13:47,0,0/2,0/0,0/2,0/0,0,0,0,3,1,1,0,0,-5,0
China,Canada,68,90,0608,10,Wen Lu,13:41,5,2/5,2/5,0/0,1/2,2,0,2,2,5,3,0,0,-9,2
China,Canada,68,90,0608,11,Sijing Huang,12:04,6,2/5,1/3,1/2,1/2,1,1,2,0,3,2,1,2,-10,5
China,Canada,68,90,0608,12,Song Gao,18:20,9,3/4,2/3,1/1,2/2,1,0,1,0,0,0,0,0,-7,9
China,Canada,68,90,0608,13,Mengran Sun,20:24,4,2/7,2/5,0/2,0/1,2,3,5,2,1,1,0,1,-11,5
China,Canada,68,90,0608,14,Hongpin Huang,17:13,2,1/1,1/1,0/0,0/0,1,2,3,1,0,1,1,1,-14,7
China,Canada,68,90,0608,15,Nan Chen,18:10,13,3/7,3/7,0/0,7/8,3,0,3,0,0,1,1,1,-3,12
Canada,China,90,68,0608,4,Miah-Marie Langlois,24:32,11,4/9,1/4,3/5,0/0,3,1,4,4,3,1,0,1,14,14
Canada,China,90,68,0608,5,Kia Nurse,17:24,5,0/6,0/5,0/1,5/6,0,2,2,4,1,1,1,0,16,4
Canada,China,90,68,0608,6,Shona Thorburn,15:28,5,1/4,0/2,1/2,2/2,0,2,2,3,1,0,0,0,8,7
Canada,China,90,68,0608,7,Nayo Raincock-Ekunwe,20:42,5,2/2,2/2,0/0,1/1,2,2,4,1,3,1,1,2,10,12
Canada,China,90,68,0608,8,Kim Gaucher,20:15,3,1/4,1/4,0/0,1/1,0,10,10,7,2,2,0,0,14,15
Canada,China,90,68,0608,9,Miranda Ayim,18:51,10,5/7,5/7,0/0,0/0,1,1,2,0,4,1,0,2,3,11
Canada,China,90,68,0608,10,Nirra Fields,09:11,2,1/5,1/4,0/1,0/0,0,1,1,2,1,2,0,0,4,-1
Canada,China,90,68,0608,11,Natalie Achonwa,09:16,6,3/5,3/5,0/0,0/3,2,0,2,2,2,0,1,0,14,6
Canada,China,90,68,0608,12,Lizanne Murphy,16:14,12,4/6,2/3,2/3,2/3,0,1,1,3,2,0,0,0,8,13
Canada,China,90,68,0608,13,Tamara Tatham,23:59,20,6/9,2/5,4/4,4/4,3,3,6,1,0,4,2,1,12,23
Canada,China,90,68,0608,14,Katherine Plouffe,16:07,8,4/5,4/5,0/0,0/0,0,3,3,3,3,0,1,0,3,14
Canada,China,90,68,0608,15,Michelle Plouffe,08:01,3,1/2,0/1,1/1,0/0,1,0,1,1,2,1,0,0,4,3
Brazil,Australia,66,84,0608,4,Adriana Moises,29:46,9,3/5,2/3,1/2,2/2,0,3,3,7,3,3,0,0,-16,14
Brazil,Australia,66,84,0608,6,Joice Rodrigues,10:14,0,0/2,0/2,0/0,0/0,1,1,2,1,1,0,1,0,-2,2
Brazil,Australia,66,84,0608,7,Palmira Marcal,12:20,3,1/4,0/1,1/3,0/0,0,0,0,3,2,1,0,0,-8,2
Brazil,Australia,66,84,0608,8,Iziane Castro,37:00,25,10/17,9/16,1/1,4/7,2,3,5,2,2,4,0,1,-20,19
Brazil,Australia,66,84,0608,11,Clarissa Santos,28:46,8,1/4,0/2,1/2,5/6,3,10,13,3,2,1,2,0,-16,21
Brazil,Australia,66,84,0608,12,Damiris Dantas,37:01,11,5/11,4/8,1/3,0/0,0,8,8,1,4,4,2,0,-9,12
Brazil,Australia,66,84,0608,13,Nadia Colhado,06:20,3,1/1,1/1,0/0,1/2,0,0,0,0,1,2,0,0,-4,0
Brazil,Australia,66,84,0608,14,Érika Souza,27:45,3,1/4,1/4,0/0,1/2,1,0,1,1,4,3,0,0,-8,-2
Brazil,Australia,66,84,0608,15,Kelly Santos,10:48,4,2/5,2/5,0/0,0/0,1,0,1,0,2,1,0,0,-7,1
Australia,Brazil,84,66,0608,4,Tessa Lavey,09:02,2,1/1,1/1,0/0,0/0,0,0,0,3,1,0,0,0,5,5
Australia,Brazil,84,66,0608,5,Leilani Mitchell,30:58,18,5/10,2/5,3/5,5/6,0,0,0,6,2,1,3,0,13,20
Australia,Brazil,84,66,0608,6,Stephanie Talbot,05:02,0,0/1,0/1,0/0,0/0,0,0,0,0,0,0,1,0,8,0
Australia,Brazil,84,66,0608,7,Penny Taylor,29:26,17,6/10,5/7,1/3,4/4,1,2,3,2,1,5,2,1,6,16
Australia,Brazil,84,66,0608,8,Elizabeth Cambage,29:10,20,8/20,8/19,0/1,4/7,3,11,14,2,4,1,0,2,15,22
Australia,Brazil,84,66,0608,9,Natalie Burton,10:07,0,0/0,0/0,0/0,0/0,0,0,0,1,3,0,1,0,-1,2
Australia,Brazil,84,66,0608,10,Rachel Jarry,22:48,6,2/4,0/0,2/4,0/0,0,2,2,1,2,0,0,0,20,7
Australia,Brazil,84,66,0608,11,Laura Hodges,08:32,0,0/1,0/1,0/0,0/0,0,0,0,0,2,1,0,0,-7,-2
Australia,Brazil,84,66,0608,12,Katie Rae Ebzery,04:02,0,0/1,0/1,0/0,0/0,0,0,0,1,1,1,0,0,-9,-1
Australia,Brazil,84,66,0608,13,Erin Phillips,18:42,3,1/4,0/2,1/2,0/0,1,1,2,4,1,0,1,0,11,7
Australia,Brazil,84,66,0608,14,Marianna Tolo,20:37,9,4/6,4/6,0/0,1/1,2,2,4,0,3,1,1,1,14,12
Australia,Brazil,84,66,0608,15,Cayla George,11:34,9,3/4,0/0,3/4,0/0,0,1,1,1,2,0,1,0,15,11
Belarus,Japan,73,77,0608,4,Maryia Papova,23:31,4,2/7,2/4,0/3,0/0,1,5,6,2,1,2,1,1,-13,7
Belarus,Japan,73,77,0608,5,Aliaksandra Tarasava,07:10,3,1/1,0/0,1/1,0/0,0,1,1,0,1,0,0,0,2,4
Belarus,Japan,73,77,0608,6,Katsiaryna Snytsina,20:54,14,5/9,1/2,4/7,0/0,0,1,1,0,2,4,0,1,5,8
Belarus,Japan,73,77,0608,8,Tatsiana Likhtarovich,34:34,10,3/5,1/3,2/2,2/2,1,2,3,3,3,1,0,0,-4,13
Belarus,Japan,73,77,0608,9,Volha Ziuzkova,04:06,2,0/2,0/0,0/2,2/2,0,0,0,0,1,0,0,0,-7,0
Belarus,Japan,73,77,0608,10,Anastasiya Verameyenka,26:05,8,4/9,4/7,0/2,0/0,3,7,10,2,2,4,0,0,1,11
Belarus,Japan,73,77,0608,11,Yelena Leuchanka,29:52,15,6/7,6/7,0/0,3/3,2,7,9,2,3,4,0,2,-11,23
Belarus,Japan,73,77,0608,12,Lindsey Harding,29:45,12,4/13,4/11,0/2,4/4,0,8,8,5,5,1,0,1,5,16
Belarus,Japan,73,77,0608,13,Tatyana Troina,24:03,5,1/7,0/3,1/4,2/2,1,2,3,2,2,1,0,1,2,4
Japan,Belarus,77,73,0608,4,Kaede Kondo,05:07,5,2/4,1/2,1/2,0/0,0,0,0,1,0,0,1,0,3,5
Japan,Belarus,77,73,0608,6,Yuka Mamiya,14:32,5,2/7,2/7,0/0,1/2,0,1,1,0,3,1,0,0,-5,-1
