country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Tahiti,American Samoa,106,32,1911,5,Aeata Oceana Hana Tepu,29:02,11,4/9,3/3,1/6,2/4,2,1,3,2,2,5,5,0,57,9
Tahiti,American Samoa,106,32,1911,6,Hereiti Salem,17:29,4,1/9,1/6,0/3,2/4,4,2,6,2,2,0,0,0,23,2
Tahiti,American Samoa,106,32,1911,7,Hinearii Eketa Teriierooiterai,03:32,0,0/1,0/0,0/1,0/0,1,1,2,0,0,0,0,0,4,1
Tahiti,American Samoa,106,32,1911,8,Vainui Tehoiri,16:08,4,2/3,2/2,0/1,0/0,3,1,4,2,4,0,1,0,30,10
Tahiti,American Samoa,106,32,1911,9,Mahine Kamakea Tepu,35:13,22,8/20,3/6,5/14,1/2,3,2,5,5,2,1,7,0,68,25
Tahiti,American Samoa,106,32,1911,11,Oceane Julie Poerani Lefranc,33:05,33,14/18,11/15,3/3,2/5,0,6,6,6,3,2,7,1,59,44
Tahiti,American Samoa,106,32,1911,12,Maea Lextreyt,16:29,13,6/7,5/5,1/2,0/0,2,3,5,0,1,1,3,0,31,19
Tahiti,American Samoa,106,32,1911,13,Pitoura Lucie Matohil,03:51,5,2/2,2/2,0/0,1/2,1,0,1,2,2,0,0,0,17,7
Tahiti,American Samoa,106,32,1911,14,Rosa Manaha Tuhiata Mariteragi,18:46,10,4/7,4/6,0/1,2/6,1,2,3,3,2,0,3,0,39,12
Tahiti,American Samoa,106,32,1911,15,Temana Jamie Desirie Teururai,26:19,4,2/4,2/4,0/0,0/0,2,2,4,2,0,1,1,0,42,8
American Samoa,Tahiti,32,106,1911,4,Cecilia Rosary Taufa'asau,16:08,4,2/6,2/4,0/2,0/0,1,1,2,0,0,3,1,0,-37,0
American Samoa,Tahiti,32,106,1911,5,Racquelle Monsua Toleafoa,27:13,11,4/5,4/5,0/0,3/6,2,0,2,0,5,6,1,0,-57,4
American Samoa,Tahiti,32,106,1911,6,Olivialynn Meliame- Vaiomounga,34:19,4,2/8,2/7,0/1,0/2,1,1,2,0,5,8,2,0,-65,-8
American Samoa,Tahiti,32,106,1911,9,Raelisa Ivalua Airah  Toleafoa,29:46,10,4/5,4/5,0/0,2/2,0,7,7,1,4,5,0,0,-43,12
American Samoa,Tahiti,32,106,1911,10,Christina Aileen Mendoza,34:29,0,0/6,0/6,0/0,0/2,0,5,5,0,2,9,2,0,-70,-10
American Samoa,Tahiti,32,106,1911,11,Esther Sasaouaga Taufa'asau,20:28,0,0/1,0/1,0/0,0/0,0,7,7,0,3,9,1,0,-43,-2
American Samoa,Tahiti,32,106,1911,12,Mariah Litara Masoli,12:46,0,0/1,0/1,0/0,0/2,0,1,1,1,2,0,0,0,-18,-1
American Samoa,Tahiti,32,106,1911,23,Rhozlyn June Dee Toleafoa,24:46,3,1/2,1/2,0/0,1/2,1,3,4,1,2,2,1,0,-37,5
Samoa,Cook Islands,47,80,1911,1,Valina Leota,07:19,2,1/1,1/1,0/0,0/0,0,1,1,0,2,0,1,0,-10,4
Samoa,Cook Islands,47,80,1911,2,Aufui Sau,18:40,11,3/7,3/6,0/1,5/6,1,4,5,0,3,3,0,0,-17,8
Samoa,Cook Islands,47,80,1911,3,Fialauia Faifeau Hunt,18:07,6,2/8,1/4,1/4,1/2,1,1,2,0,1,5,3,0,-12,-1
Samoa,Cook Islands,47,80,1911,4,Taylor Tamapua Muaulu,20:34,0,0/0,0/0,0/0,0/0,0,1,1,1,1,3,1,0,-21,0
Samoa,Cook Islands,47,80,1911,5,Cherish  Manumaleuga,26:47,16,6/10,4/6,2/4,2/2,2,4,6,0,2,4,1,0,-17,15
Samoa,Cook Islands,47,80,1911,6,Linda Junita Kelsall,18:30,0,0/2,0/0,0/2,0/0,0,1,1,2,1,3,1,0,-27,-1
Samoa,Cook Islands,47,80,1911,7,Cellestin  Pauga,10:16,0,0/3,0/1,0/2,0/0,0,1,1,0,1,0,0,0,-8,-2
Samoa,Cook Islands,47,80,1911,8,Theresa Maelegameli Vaaelua,09:40,2,0/4,0/4,0/0,2/6,0,1,1,0,5,1,2,0,-3,-4
Samoa,Cook Islands,47,80,1911,9,Courtenay Paige Le'Au'Anae,24:28,3,1/4,1/1,0/3,1/2,0,3,3,0,2,4,0,0,-15,-2
Samoa,Cook Islands,47,80,1911,10,Frances Teneva Ropati,26:26,7,3/8,3/6,0/2,1/6,3,5,8,0,2,1,2,0,-23,6
Samoa,Cook Islands,47,80,1911,11,Moana Melody Paulo,08:18,0,0/1,0/1,0/0,0/0,1,1,2,0,1,1,0,0,-9,0
Samoa,Cook Islands,47,80,1911,12,Theresa Tina Avilla Vaoliko,10:49,0,0/2,0/2,0/0,0/2,1,1,2,0,0,0,0,0,-3,-2
Cook Islands,Samoa,80,47,1911,2,Janet  Main,18:58,6,3/5,3/4,0/1,0/0,1,0,1,0,2,2,0,0,13,3
