country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Uruguay,Colombia,71,64,2910,0,Pierina Rossi,33:17,13,5/9,5/6,0/3,3/4,2,9,11,2,2,2,0,0,-1,19
Uruguay,Colombia,71,64,2910,3,Lucia Auza,05:35,0,0/1,0/1,0/0,0/0,0,0,0,0,1,1,1,0,5,-1
Uruguay,Colombia,71,64,2910,4,Cecilia Ladra,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Uruguay,Colombia,71,64,2910,5,Giuliana Pérez,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Uruguay,Colombia,71,64,2910,6,Camila Mazzariello,26:36,5,2/3,2/3,0/0,1/3,2,4,6,0,2,3,0,0,8,5
Uruguay,Colombia,71,64,2910,8,Carolina Frenandez,37:58,13,4/8,2/5,2/3,3/4,0,10,10,4,1,5,0,0,10,17
Uruguay,Colombia,71,64,2910,10,Josefina Zeballos,37:06,18,7/17,3/8,4/9,0/2,1,5,6,5,2,11,3,0,8,9
Uruguay,Colombia,71,64,2910,11,Paula Fernandez,00:07,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-3,0
Uruguay,Colombia,71,64,2910,13,Sofia Sica,07:19,1,0/0,0/0,0/0,1/2,0,2,2,0,2,1,0,0,-1,1
Uruguay,Colombia,71,64,2910,15,Zoé Castro,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Uruguay,Colombia,71,64,2910,23,Maite Pereira,38:34,21,7/18,5/16,2/2,5/6,1,4,5,2,1,4,2,0,10,14
Uruguay,Colombia,71,64,2910,33,Evangelina Rolon,13:23,0,0/1,0/1,0/0,0/0,0,2,2,0,0,1,0,0,-1,0
Colombia,Uruguay,64,71,2910,4,Susana Bedoya,04:49,0,0/0,0/0,0/0,0/0,0,1,1,0,3,2,0,0,-4,-1
Colombia,Uruguay,64,71,2910,5,Paula Gomez,13:55,0,0/3,0/3,0/0,0/2,5,1,6,0,0,3,0,0,10,-2
Colombia,Uruguay,64,71,2910,6,Angely Lopez,13:40,7,3/8,2/4,1/4,0/0,1,4,5,1,5,2,1,0,-1,7
Colombia,Uruguay,64,71,2910,7,Maria Paula Paez,01:59,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,0,0,-2,0
Colombia,Uruguay,64,71,2910,8,Susana Yepes,23:41,12,4/10,0/1,4/9,0/0,1,2,3,1,4,1,1,0,-1,10
Colombia,Uruguay,64,71,2910,9,Naylee Cortes,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Colombia,Uruguay,64,71,2910,10,Julieth Rivera,31:58,15,6/21,4/9,2/12,1/2,1,0,1,1,2,2,3,2,-8,4
Colombia,Uruguay,64,71,2910,11,Luisa Monsalve,03:34,0,0/1,0/0,0/1,0/0,0,0,0,0,1,0,0,0,-1,-1
Colombia,Uruguay,64,71,2910,12,Isabella Giraldo,35:01,8,3/16,1/9,2/7,0/0,1,5,6,4,1,4,3,0,-8,4
Colombia,Uruguay,64,71,2910,13,Lorena Hurtado,25:19,10,4/11,3/9,1/2,1/2,5,3,8,2,5,2,2,1,-6,13
Colombia,Uruguay,64,71,2910,14,Laura Vergara,22:41,7,2/5,2/4,0/1,3/5,0,2,2,0,1,1,3,0,0,6
Colombia,Uruguay,64,71,2910,16,Maria Paula Garcia,23:18,5,2/4,2/4,0/0,1/4,3,4,7,1,2,2,1,1,-14,8
Brazil,Paraguay,68,59,2910,4,Raiane Santos,24:02,2,0/5,0/5,0/0,2/2,3,3,6,3,1,3,2,0,8,5
Brazil,Paraguay,68,59,2910,5,Maria Eduarda Pereira,07:40,0,0/3,0/1,0/2,0/0,0,0,0,0,0,0,2,0,-10,-1
Brazil,Paraguay,68,59,2910,7,Anna Clara Santos,24:48,10,4/9,2/4,2/5,0/0,0,1,1,1,2,6,3,0,4,4
Brazil,Paraguay,68,59,2910,8,Giovanna Juzzo,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Brazil,Paraguay,68,59,2910,10,Vitoria Carvalho,18:13,8,3/6,3/6,0/0,2/4,1,3,4,1,1,0,0,3,0,11
Brazil,Paraguay,68,59,2910,11,Brenda Silva,18:58,17,6/13,5/9,1/4,4/8,6,2,8,1,2,2,3,0,4,16
Brazil,Paraguay,68,59,2910,13,Stephany Gonçalves,09:10,4,2/3,2/2,0/1,0/0,1,2,3,1,1,0,0,0,-2,7
Brazil,Paraguay,68,59,2910,14,Wanessa Silva,29:03,8,3/10,1/5,2/5,0/0,2,5,7,1,3,1,1,0,14,9
Brazil,Paraguay,68,59,2910,15,Ana Paula Dias,24:23,13,6/15,5/11,1/4,0/6,1,0,1,2,1,3,9,0,18,7
Brazil,Paraguay,68,59,2910,18,Eduarda Reolon,13:56,2,1/3,1/2,0/1,0/0,0,1,1,1,1,2,0,0,-1,0
Brazil,Paraguay,68,59,2910,19,Rhayssa  Souza,29:41,4,2/5,2/5,0/0,0/0,4,7,11,2,1,3,2,1,10,14
Brazil,Paraguay,68,59,2910,23,Kerolene Santos,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Paraguay,Brazil,59,68,2910,1,Jael Benitez,32:02,22,10/21,8/13,2/8,0/0,3,2,5,1,2,5,4,0,-4,16
Paraguay,Brazil,59,68,2910,3,Rocio Britos,16:58,5,1/5,1/5,0/0,3/4,5,2,7,0,2,1,2,0,-2,8
