country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Mexico,Barbados,99,18,0707,3,Elva Chavez,17:27,2,1/5,1/5,0/0,0/0,2,3,5,2,2,0,1,0,32,6
Mexico,Barbados,99,18,0707,4,Livier Burgueno,15:38,17,6/10,3/5,3/5,2/2,2,2,4,3,1,0,0,1,35,21
Mexico,Barbados,99,18,0707,5,Melissa Ruiz,18:24,8,3/10,1/5,2/5,0/0,6,3,9,8,1,2,4,0,34,20
Mexico,Barbados,99,18,0707,6,Mariana Valenzuela,15:13,20,10/14,10/14,0/0,0/0,5,7,12,3,1,0,3,0,38,34
Mexico,Barbados,99,18,0707,8,Abril Reyes,18:14,4,2/7,2/7,0/0,0/2,1,2,3,3,1,2,3,1,40,5
Mexico,Barbados,99,18,0707,9,Fernanda Tress,12:39,8,4/11,4/10,0/1,0/0,3,1,4,0,3,1,5,1,21,10
Mexico,Barbados,99,18,0707,11,Nadia Avila,18:11,4,1/4,1/3,0/1,2/2,1,4,5,0,0,0,3,1,43,10
Mexico,Barbados,99,18,0707,13,Livia Rosales,20:17,12,5/9,3/4,2/5,0/0,0,0,0,0,2,0,2,0,43,10
Mexico,Barbados,99,18,0707,14,Irais Aguilera,13:37,7,3/5,2/3,1/2,0/0,1,1,2,4,3,1,2,0,38,12
Mexico,Barbados,99,18,0707,15,Ilse Miranda,14:58,10,5/11,5/11,0/0,0/0,3,1,4,0,1,2,1,1,14,8
Mexico,Barbados,99,18,0707,22,Valentina Gutierrez,18:23,2,1/5,1/3,0/2,0/0,1,1,2,1,1,1,2,0,29,2
Mexico,Barbados,99,18,0707,23,Frida Arriaga,16:59,5,2/4,1/2,1/2,0/0,0,1,1,2,1,3,1,0,38,4
Barbados,Mexico,18,99,0707,1,Rebecca Simpson,35:55,5,2/12,2/9,0/3,1/2,0,2,2,0,0,5,1,0,-80,-8
Barbados,Mexico,18,99,0707,2,Hanna Ashby,18:54,2,1/6,1/6,0/0,0/0,0,0,0,0,0,4,1,0,-35,-6
Barbados,Mexico,18,99,0707,3,Joniqua Moore,05:42,0,0/0,0/0,0/0,0/0,0,0,0,0,0,2,1,0,-17,-1
Barbados,Mexico,18,99,0707,4,Alesha Squires,28:43,0,0/3,0/3,0/0,0/2,1,1,2,0,0,3,0,0,-60,-6
Barbados,Mexico,18,99,0707,5,Zahra Ashby,32:30,6,2/11,2/10,0/1,2/6,2,4,6,1,1,9,1,0,-63,-8
Barbados,Mexico,18,99,0707,6,Damia Walrond,10:49,2,1/1,1/1,0/0,0/0,0,0,0,0,1,0,0,0,-18,2
Barbados,Mexico,18,99,0707,7,Rheanna Griffin,06:18,0,0/1,0/0,0/1,0/0,1,0,1,0,0,0,0,0,-15,0
Barbados,Mexico,18,99,0707,8,Tenielle Chapman-Goodluck,16:14,0,0/3,0/3,0/0,0/0,1,9,10,1,0,4,0,0,-32,4
Barbados,Mexico,18,99,0707,9,Jada Smith,27:15,0,0/4,0/4,0/0,0/0,1,2,3,0,1,3,1,0,-47,-3
Barbados,Mexico,18,99,0707,11,Ahriann Fields,15:47,2,1/2,1/2,0/0,0/0,0,0,0,0,3,2,0,0,-34,-1
Barbados,Mexico,18,99,0707,12,Quinielle Weekes,01:53,1,0/0,0/0,0/0,1/2,0,0,0,0,0,1,0,0,-4,-1
Bahamas,El Salvador,79,59,0707,4,Jade Brown,03:10,0,0/0,0/0,0/0,0/0,0,1,1,0,1,1,0,0,-3,0
Bahamas,El Salvador,79,59,0707,5,Veronaye Charlton,14:43,4,2/3,2/3,0/0,0/0,0,0,0,2,1,3,2,0,13,4
Bahamas,El Salvador,79,59,0707,6,Rhema Collins,31:41,11,5/16,5/16,0/0,1/4,6,9,15,2,3,1,3,3,30,19
Bahamas,El Salvador,79,59,0707,7,Laverne Ambrister,03:28,1,0/0,0/0,0/0,1/2,1,0,1,0,0,1,0,0,-9,0
Bahamas,El Salvador,79,59,0707,8,Denika Lightbourne,26:26,9,3/12,2/11,1/1,2/3,1,1,2,6,1,7,4,0,13,4
Bahamas,El Salvador,79,59,0707,9,Khyla Shakespeare,03:58,2,0/0,0/0,0/0,2/2,0,0,0,0,1,0,0,0,10,2
Bahamas,El Salvador,79,59,0707,10,Karolyn Baptiste,20:35,9,3/6,2/2,1/4,2/2,0,2,2,1,2,2,2,0,14,9
Bahamas,El Salvador,79,59,0707,11,Antonicia Moultrie,27:05,14,5/11,4/10,1/1,3/6,4,5,9,1,3,1,2,0,10,16
Bahamas,El Salvador,79,59,0707,12,Danae Malcom,11:39,5,1/1,1/1,0/0,3/4,0,1,1,0,2,3,1,0,2,3
Bahamas,El Salvador,79,59,0707,13,Kendi Outten,16:03,6,2/2,0/0,2/2,0/2,0,0,0,2,2,3,1,0,11,4
Bahamas,El Salvador,79,59,0707,14,Michell Butler,28:55,12,6/11,6/11,0/0,0/0,5,3,8,4,3,2,1,1,4,19
Bahamas,El Salvador,79,59,0707,15,Erin Arianna Williams,12:17,6,3/9,3/9,0/0,0/0,2,2,4,0,2,2,0,0,5,2
El Salvador,Bahamas,59,79,0707,2,Zabdi Rivera,06:29,2,1/2,1/2,0/0,0/0,1,0,1,1,1,2,0,0,-10,1
El Salvador,Bahamas,59,79,0707,4,Camila Lima,09:34,3,1/1,1/1,0/0,1/2,0,1,1,0,0,0,0,0,0,3
El Salvador,Bahamas,59,79,0707,5,Dayana Maldonado,06:38,2,1/2,1/2,0/0,0/2,0,0,0,0,1,1,0,0,-3,-2
El Salvador,Bahamas,59,79,0707,6,Rebeca Roque,11:06,0,0/1,0/1,0/0,0/0,0,1,1,0,0,0,1,1,-8,2
El Salvador,Bahamas,59,79,0707,9,Silvia Vega,15:42,0,0/4,0/4,0/0,0/2,1,2,3,1,4,2,3,0,-14,-1
El Salvador,Bahamas,59,79,0707,10,Keylin Murcia,31:27,21,7/19,6/10,1/9,6/8,1,4,5,1,4,3,3,0,-11,13
El Salvador,Bahamas,59,79,0707,11,Sofia Alfaro,29:33,7,3/10,2/6,1/4,0/0,2,1,3,4,0,5,3,0,-7,5
El Salvador,Bahamas,59,79,0707,12,Samantha Vasquez,18:07,0,0/2,0/2,0/0,0/0,0,3,3,0,4,7,2,0,-12,-4
El Salvador,Bahamas,59,79,0707,14,Gabriela Alfaro,15:09,9,4/6,4/5,0/1,1/2,1,0,1,1,1,0,1,0,-3,9
El Salvador,Bahamas,59,79,0707,15,Camila Huezo,12:38,4,2/5,2/4,0/1,0/0,0,3,3,2,2,2,3,0,-10,7
El Salvador,Bahamas,59,79,0707,22,Marcela Tejada,35:14,8,2/6,2/6,0/0,4/4,2,7,9,1,3,2,2,4,-16,18
El Salvador,Bahamas,59,79,0707,41,Melany Sanchez,08:23,3,0/2,0/1,0/1,3/4,1,1,2,0,2,2,1,1,-6,2
Dominican Republic,Costa Rica,62,36,0707,1,Aurora Almon,09:08,0,0/2,0/2,0/0,0/0,0,2,2,0,2,2,0,0,-2,-2
Dominican Republic,Costa Rica,62,36,0707,3,Cesarina Capellan,25:12,6,3/5,3/4,0/1,0/2,1,4,5,4,1,5,1,0,18,7
Dominican Republic,Costa Rica,62,36,0707,4,Isamery Telleria,05:48,0,0/0,0/0,0/0,0/0,0,2,2,0,0,3,0,0,-3,-1
Dominican Republic,Costa Rica,62,36,0707,7,Angela Jimenez,26:26,11,5/10,5/9,0/1,1/2,3,10,13,2,2,2,2,0,17,20
Dominican Republic,Costa Rica,62,36,0707,8,Chelsy Santana,15:55,8,4/6,4/6,0/0,0/0,2,6,8,1,0,1,1,2,11,17
Dominican Republic,Costa Rica,62,36,0707,10,Dangely Vinicio,27:23,0,0/4,0/3,0/1,0/0,1,1,2,7,1,9,3,0,21,-1
Dominican Republic,Costa Rica,62,36,0707,11,Zoila Martinez,02:23,0,0/1,0/1,0/0,0/0,0,1,1,0,0,1,0,2,3,1
Dominican Republic,Costa Rica,62,36,0707,13,Ashley Baez,30:35,20,7/14,6/10,1/4,5/5,1,3,4,0,1,6,1,0,21,12
Dominican Republic,Costa Rica,62,36,0707,14,Glorivel Rodriguez,05:29,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,1,2,3,2
Dominican Republic,Costa Rica,62,36,0707,15,Yashina Lebron,30:20,6,3/8,3/8,0/0,0/0,3,6,9,2,1,2,1,0,27,11
Dominican Republic,Costa Rica,62,36,0707,16,Marlin Linarez,11:45,6,2/5,1/1,1/4,1/2,0,3,3,1,2,1,0,1,11,6
Dominican Republic,Costa Rica,62,36,0707,22,Merelyn Alcantara,09:35,5,2/3,1/1,1/2,0/0,0,0,0,3,2,1,0,0,3,6
Costa Rica,Dominican Republic,36,62,0707,5,Iyanla Johnson,26:12,1,0/3,0/2,0/1,1/2,3,3,6,1,3,3,3,1,-19,5
Costa Rica,Dominican Republic,36,62,0707,7,Amanda  Fernandez,04:01,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,0,0,-3,0
Costa Rica,Dominican Republic,36,62,0707,8,Karina Araya,16:13,2,1/6,1/4,0/2,0/2,3,3,6,1,2,1,5,0,-7,6
Costa Rica,Dominican Republic,36,62,0707,9,Valeria Gonzalez,29:00,7,3/12,3/11,0/1,1/4,4,1,5,1,0,1,1,0,-15,1
Costa Rica,Dominican Republic,36,62,0707,10,Fabiana Briceño,07:14,0,0/1,0/1,0/0,0/0,0,0,0,0,0,1,0,0,-2,-2
Costa Rica,Dominican Republic,36,62,0707,11,Nicole Guevara,07:14,0,0/5,0/4,0/1,0/0,0,0,0,0,1,1,0,0,-10,-6
Costa Rica,Dominican Republic,36,62,0707,12,Alison Torres,26:25,15,5/17,1/9,4/8,1/3,0,2,2,1,2,4,3,0,-10,3
Costa Rica,Dominican Republic,36,62,0707,13,Ariana Mora,33:46,6,3/8,3/8,0/0,0/2,2,7,9,3,2,1,2,1,-27,13
Costa Rica,Dominican Republic,36,62,0707,15,Maripaz Calvo,06:16,0,0/0,0/0,0/0,0/0,0,0,0,1,0,3,1,0,-6,-1
Costa Rica,Dominican Republic,36,62,0707,16,Karina Solis,15:51,0,0/9,0/5,0/4,0/0,0,0,0,1,1,0,1,0,-20,-7
Costa Rica,Dominican Republic,36,62,0707,24,Marypaz Martinez,15:00,4,1/10,1/6,0/4,2/4,1,0,1,0,0,1,2,0,-7,-5
Costa Rica,Dominican Republic,36,62,0707,30,Paola Giron,12:48,1,0/4,0/4,0/0,1/2,2,2,4,0,4,0,1,0,-4,1
Guatemala,Puerto Rico,32,71,0707,2,Natalie Larrañaga,27:43,10,4/11,4/11,0/0,2/4,1,6,7,1,2,5,3,0,-27,7
Guatemala,Puerto Rico,32,71,0707,5,Elisa Martinez,17:00,5,1/7,0/2,1/5,2/2,2,3,5,3,1,5,0,0,-12,2
Guatemala,Puerto Rico,32,71,0707,6,Eva Barraza,23:00,0,0/2,0/1,0/1,0/0,1,3,4,3,1,3,1,0,-27,3
Guatemala,Puerto Rico,32,71,0707,7,Lissa Muñoz,29:12,3,1/6,1/6,0/0,1/2,0,1,1,1,0,5,0,1,-28,-5
Guatemala,Puerto Rico,32,71,0707,11,Elizabeth Camacho,11:04,2,1/4,1/4,0/0,0/0,0,2,2,0,4,2,0,2,-18,1
Guatemala,Puerto Rico,32,71,0707,12,Andrea Pinto,25:54,5,2/7,1/4,1/3,0/0,0,0,0,0,3,2,0,0,-28,-2
Guatemala,Puerto Rico,32,71,0707,14,Noor Aranki,17:08,2,1/5,1/5,0/0,0/3,1,5,6,0,4,1,1,0,-16,1
Guatemala,Puerto Rico,32,71,0707,24,Silvia Secaira,19:11,2,1/4,1/4,0/0,0/0,1,1,2,1,2,2,0,0,-9,0
Guatemala,Puerto Rico,32,71,0707,31,Mariana Escobar,29:48,3,1/4,1/4,0/0,1/2,1,12,13,0,3,3,1,2,-30,12
Puerto Rico,Guatemala,71,32,0707,3,Shirley Ann Isaac,08:15,0,0/4,0/4,0/0,0/0,7,1,8,0,2,1,0,0,5,3
Puerto Rico,Guatemala,71,32,0707,4,Crystal Diaz,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Puerto Rico,Guatemala,71,32,0707,5,Nina De Leon,28:52,19,7/13,3/4,4/9,1/2,2,1,3,3,0,0,2,1,30,21
Puerto Rico,Guatemala,71,32,0707,6,Siuly Burgos,14:19,4,2/7,2/7,0/0,0/1,3,3,6,2,0,0,1,0,23,7
Puerto Rico,Guatemala,71,32,0707,7,Jullie Ruiz,28:28,9,3/10,3/8,0/2,3/6,1,4,5,2,0,2,2,0,30,6
Puerto Rico,Guatemala,71,32,0707,8,Silkiari Vazquez,24:09,9,4/7,3/5,1/2,0/4,5,1,6,5,2,2,5,0,24,16
Puerto Rico,Guatemala,71,32,0707,10,Sherly Ann Garcia,25:41,9,4/12,4/11,0/1,1/2,3,5,8,3,3,0,2,0,29,13
Puerto Rico,Guatemala,71,32,0707,11,Andrea Medina,09:45,2,1/5,1/5,0/0,0/1,2,2,4,1,1,0,0,0,5,2
Puerto Rico,Guatemala,71,32,0707,12,Juneyla Figueroa,14:56,3,1/6,0/2,1/4,0/0,0,0,0,0,0,1,0,0,19,-3
Puerto Rico,Guatemala,71,32,0707,13,Angelee Rodriguez,14:47,9,3/3,3/3,0/0,3/4,3,3,6,0,0,1,0,2,11,15
Puerto Rico,Guatemala,71,32,0707,21,Paola Hernandez,05:11,2,1/1,1/1,0/0,0/0,0,1,1,0,1,0,0,0,-3,3
Puerto Rico,Guatemala,71,32,0707,24,Nangely Garcia,25:37,5,1/18,1/11,0/7,3/3,1,9,10,0,0,2,2,0,22,-2
Costa Rica,Mexico,51,70,0807,5,Iyanla Johnson,22:48,6,2/3,2/3,0/0,2/2,1,6,7,0,5,3,2,0,-22,11
Costa Rica,Mexico,51,70,0807,7,Amanda  Fernandez,10:52,0,0/1,0/1,0/0,0/2,1,1,2,1,0,1,1,0,-1,0
Costa Rica,Mexico,51,70,0807,8,Karina Araya,15:28,4,0/1,0/1,0/0,4/4,0,3,3,2,0,2,3,0,-13,9
Costa Rica,Mexico,51,70,0807,9,Valeria Gonzalez,23:49,3,1/4,0/3,1/1,0/2,0,2,2,2,1,3,1,0,-9,0
Costa Rica,Mexico,51,70,0807,10,Fabiana Briceño,17:56,0,0/1,0/1,0/0,0/0,0,6,6,1,0,5,0,0,-13,1
Costa Rica,Mexico,51,70,0807,11,Nicole Guevara,13:27,9,3/6,2/3,1/3,2/4,0,1,1,0,1,0,1,0,-6,6
Costa Rica,Mexico,51,70,0807,12,Alison Torres,20:58,8,2/10,1/5,1/5,3/4,0,0,0,1,0,4,3,0,-14,-1
Costa Rica,Mexico,51,70,0807,13,Ariana Mora,28:50,8,1/5,1/5,0/0,6/10,1,7,8,2,4,2,2,2,-12,12
Costa Rica,Mexico,51,70,0807,15,Maripaz Calvo,15:13,6,1/7,0/3,1/4,3/4,0,1,1,2,0,5,0,0,-9,-3
Costa Rica,Mexico,51,70,0807,16,Karina Solis,09:58,0,0/2,0/1,0/1,0/0,0,2,2,1,1,2,0,0,-3,-1
Costa Rica,Mexico,51,70,0807,24,Marypaz Martinez,11:44,5,2/4,1/2,1/2,0/0,1,0,1,0,1,0,0,0,-2,4
Costa Rica,Mexico,51,70,0807,30,Paola Giron,08:57,2,1/1,1/1,0/0,0/0,1,0,1,0,2,3,2,0,9,2
Mexico,Costa Rica,70,51,0807,3,Elva Chavez,09:37,2,1/4,1/4,0/0,0/2,2,0,2,0,2,0,2,0,9,1
Mexico,Costa Rica,70,51,0807,4,Livier Burgueno,11:57,2,1/7,1/4,0/3,0/0,1,2,3,1,2,0,1,0,6,1
Mexico,Costa Rica,70,51,0807,5,Melissa Ruiz,12:29,2,1/10,1/8,0/2,0/0,0,1,1,2,1,4,3,0,5,-5
Mexico,Costa Rica,70,51,0807,6,Mariana Valenzuela,20:37,14,6/13,6/13,0/0,2/2,5,5,10,1,1,4,1,0,19,15
Mexico,Costa Rica,70,51,0807,8,Abril Reyes,26:25,14,5/10,5/9,0/1,4/4,2,5,7,5,4,4,3,0,15,20
Mexico,Costa Rica,70,51,0807,9,Fernanda Tress,14:57,5,2/9,2/9,0/0,1/2,4,2,6,0,3,0,3,0,0,6
Mexico,Costa Rica,70,51,0807,11,Nadia Avila,24:17,0,0/3,0/3,0/0,0/0,0,3,3,3,2,0,2,0,11,5
Mexico,Costa Rica,70,51,0807,13,Livia Rosales,22:22,11,4/11,1/4,3/7,0/0,0,0,0,0,1,2,2,0,8,4
Mexico,Costa Rica,70,51,0807,14,Irais Aguilera,19:11,6,2/5,2/5,0/0,2/2,1,4,5,3,3,3,1,1,21,10
Mexico,Costa Rica,70,51,0807,15,Ilse Miranda,10:49,5,2/3,2/3,0/0,1/2,3,2,5,0,1,0,0,0,-4,8
Mexico,Costa Rica,70,51,0807,22,Valentina Gutierrez,11:22,3,1/4,0/1,1/3,0/0,1,0,1,0,2,0,0,0,6,1
Mexico,Costa Rica,70,51,0807,23,Frida Arriaga,15:57,6,3/7,3/3,0/4,0/0,1,2,3,1,3,2,3,0,-1,7
Guatemala,El Salvador,65,36,0807,2,Natalie Larrañaga,35:21,18,8/21,7/17,1/4,1/3,2,8,10,5,1,9,6,0,27,15
Guatemala,El Salvador,65,36,0807,5,Elisa Martinez,33:18,22,5/9,2/6,3/3,9/10,0,2,2,2,4,6,7,2,26,24
Guatemala,El Salvador,65,36,0807,6,Eva Barraza,11:21,0,0/1,0/1,0/0,0/0,1,2,3,4,1,5,3,0,5,4
Guatemala,El Salvador,65,36,0807,7,Lissa Muñoz,27:59,5,2/7,2/7,0/0,1/2,2,1,3,3,0,4,3,0,22,4
Guatemala,El Salvador,65,36,0807,11,Elizabeth Camacho,16:26,4,1/6,1/6,0/0,2/2,0,5,5,2,1,0,1,0,13,7
Guatemala,El Salvador,65,36,0807,12,Andrea Pinto,32:19,8,4/9,4/8,0/1,0/0,1,1,2,1,4,1,4,0,23,9
Guatemala,El Salvador,65,36,0807,14,Noor Aranki,13:30,3,1/3,1/3,0/0,1/2,0,3,3,0,3,2,0,0,9,1
Guatemala,El Salvador,65,36,0807,24,Silvia Secaira,06:26,0,0/2,0/2,0/0,0/0,1,1,2,1,1,0,0,0,0,1
Guatemala,El Salvador,65,36,0807,31,Mariana Escobar,23:20,5,2/10,2/10,0/0,1/2,6,5,11,0,0,2,2,2,20,9
El Salvador,Guatemala,36,65,0807,2,Zabdi Rivera,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
El Salvador,Guatemala,36,65,0807,4,Camila Lima,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
El Salvador,Guatemala,36,65,0807,5,Dayana Maldonado,17:33,2,1/4,1/4,0/0,0/0,0,1,1,2,2,2,0,0,-23,0
El Salvador,Guatemala,36,65,0807,6,Rebeca Roque,10:58,0,0/4,0/4,0/0,0/0,0,3,3,0,2,2,0,0,-13,-3
El Salvador,Guatemala,36,65,0807,9,Silvia Vega,35:48,11,4/10,4/10,0/0,3/6,2,7,9,1,1,4,1,2,-28,11
El Salvador,Guatemala,36,65,0807,10,Keylin Murcia,27:14,4,1/8,0/3,1/5,1/2,0,5,5,5,2,9,0,0,-14,-3
El Salvador,Guatemala,36,65,0807,11,Gabriela Alfaro,12:08,3,1/5,1/5,0/0,1/5,0,1,1,2,1,2,1,0,-5,-3
El Salvador,Guatemala,36,65,0807,12,Samantha Vasquez,17:20,2,1/3,1/2,0/1,0/0,1,1,2,1,0,9,3,0,-9,-3
El Salvador,Guatemala,36,65,0807,14,Sofia Alfaro,32:06,0,0/4,0/3,0/1,0/0,0,1,1,2,5,6,1,1,-30,-5
El Salvador,Guatemala,36,65,0807,15,Camila Huezo,01:26,2,1/1,1/1,0/0,0/0,0,0,0,0,0,0,0,0,0,2
El Salvador,Guatemala,36,65,0807,22,Marcela Tejada,26:45,6,2/5,2/5,0/0,2/4,4,11,15,0,2,3,1,2,-13,16
El Salvador,Guatemala,36,65,0807,41,Melany Sanchez,18:42,6,1/8,0/6,1/2,3/4,1,2,3,0,1,4,1,0,-10,-2
Barbados,Dominican Republic,33,82,0807,1,Rebecca Simpson,32:46,7,2/10,1/9,1/1,2/6,1,8,9,1,3,4,2,0,-43,3
Barbados,Dominican Republic,33,82,0807,2,Hanna Ashby,20:16,2,1/7,1/7,0/0,0/0,1,2,3,1,2,5,3,0,-30,-2
Barbados,Dominican Republic,33,82,0807,3,Joniqua Moore,05:21,0,0/0,0/0,0/0,0/0,0,0,0,1,1,0,0,0,-2,1
Barbados,Dominican Republic,33,82,0807,4,Alesha Squires,28:33,2,1/8,1/5,0/3,0/0,0,2,2,1,2,6,2,0,-51,-6
Barbados,Dominican Republic,33,82,0807,5,Zahra Ashby,37:08,16,7/18,7/17,0/1,2/6,3,2,5,1,1,7,2,0,-43,2
