country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Egypt,Mali,36,64,0312,1,Hala Yassine,29:27,9,3/8,3/8,0/0,3/8,2,1,3,1,2,3,1,0,-19,1
Egypt,Mali,36,64,0312,4,Habiba Abdelhamid,19:47,3,0/5,0/3,0/2,3/6,2,2,4,1,3,5,3,1,-25,-1
Egypt,Mali,36,64,0312,5,Salma Bahgat,06:23,0,0/2,0/2,0/0,0/0,0,0,0,1,1,3,0,0,-11,-4
Egypt,Mali,36,64,0312,7,Farida Mossad,21:43,6,3/8,3/5,0/3,0/0,0,4,4,0,1,1,1,0,-6,5
Egypt,Mali,36,64,0312,8,Fatma Kabil,10:54,3,1/4,0/2,1/2,0/0,0,1,1,0,0,4,0,0,-9,-3
Egypt,Mali,36,64,0312,9,Sandy Abdellatif,10:38,4,2/3,2/3,0/0,0/0,0,5,5,0,1,1,0,0,-3,7
Egypt,Mali,36,64,0312,12,Aya Elfiky,20:16,3,1/3,1/3,0/0,1/6,3,5,8,2,3,2,0,2,-20,6
Egypt,Mali,36,64,0312,20,Malak Sadek,24:46,2,1/6,1/5,0/1,0/1,1,1,2,0,0,2,2,1,-20,-1
Egypt,Mali,36,64,0312,33,Farida Youssef,05:48,2,1/2,1/2,0/0,0/0,1,1,2,0,1,1,0,0,-1,2
Egypt,Mali,36,64,0312,44,Yara Hussein,15:39,3,0/7,0/6,0/1,3/6,4,2,6,0,4,2,3,0,-12,0
Egypt,Mali,36,64,0312,48,Mennatullah Elgharini,13:28,1,0/2,0/2,0/0,1/2,0,5,5,0,4,3,0,0,2,0
Egypt,Mali,36,64,0312,77,Hager Yassine,21:11,0,0/1,0/0,0/1,0/0,0,4,4,2,2,3,0,0,-16,2
Mali,Egypt,64,36,0312,1,Djelika Tounkara,16:36,8,4/10,4/7,0/3,0/0,4,1,5,1,3,0,3,0,14,11
Mali,Egypt,64,36,0312,4,Mariam Kone,01:25,0,0/1,0/0,0/1,0/0,0,0,0,0,0,0,0,0,-2,-1
Mali,Egypt,64,36,0312,5,Assa Kane,00:17,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,2,0
Mali,Egypt,64,36,0312,6,Mariam Coulibaly,08:45,3,1/6,1/5,0/1,1/2,1,2,3,0,0,1,0,0,-3,-1
Mali,Egypt,64,36,0312,7,Diouma Berthe,23:01,7,3/12,2/5,1/7,0/0,3,2,5,2,2,1,1,0,11,5
Mali,Egypt,64,36,0312,8,Saran Berthe,36:58,13,3/15,1/4,2/11,5/6,4,4,8,5,2,3,5,0,30,15
Mali,Egypt,64,36,0312,9,Alima Kouyate,33:52,11,4/16,4/16,0/0,3/6,11,3,14,3,3,1,4,0,26,16
Mali,Egypt,64,36,0312,10,Diarrah Issa Sissoko,32:41,14,4/19,4/10,0/9,6/9,1,3,4,4,2,3,3,1,31,5
Mali,Egypt,64,36,0312,11,Kadiatou Samake,00:17,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,1,0
Mali,Egypt,64,36,0312,12,Koudedia Cissé,16:47,4,1/6,1/5,0/1,2/3,1,0,1,0,5,2,4,1,16,2
Mali,Egypt,64,36,0312,13,Djelika Kone,15:04,4,2/4,2/4,0/0,0/0,4,3,7,2,3,2,4,0,0,13
Mali,Egypt,64,36,0312,14,Mama Cisse,14:17,0,0/1,0/1,0/0,0/0,1,4,5,0,2,1,0,0,14,3
Mali,Senegal,61,37,0412,1,Djelika Tounkara,08:09,4,2/4,2/3,0/1,0/0,0,4,4,0,2,0,0,0,-1,6
Mali,Senegal,61,37,0412,4,Mariam Kone,10:10,6,3/6,3/3,0/3,0/0,0,3,3,0,2,0,2,0,12,8
Mali,Senegal,61,37,0412,5,Assa Kane,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Mali,Senegal,61,37,0412,6,Mariam Coulibaly,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Mali,Senegal,61,37,0412,7,Diouma Berthe,37:54,8,2/20,2/9,0/11,4/6,3,9,12,8,2,4,5,1,26,10
Mali,Senegal,61,37,0412,8,Saran Berthe,29:35,6,2/14,1/8,1/6,1/2,1,1,2,2,3,1,4,0,18,0
Mali,Senegal,61,37,0412,9,Alima Kouyate,35:44,14,6/13,6/13,0/0,2/7,11,9,20,2,1,0,4,0,25,28
Mali,Senegal,61,37,0412,10,Diarrah Issa Sissoko,34:49,16,5/24,3/17,2/7,4/5,4,3,7,8,1,4,4,0,20,11
Mali,Senegal,61,37,0412,11,Kadiatou Samake,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Mali,Senegal,61,37,0412,12,Koudedia Cissé,14:59,4,1/3,1/3,0/0,2/2,0,1,1,0,4,1,0,0,14,2
