country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Mexico,Canada,56,87,1307,4,Zaira Alvarado,25:44,7,2/6,2/6,0/0,3/4,2,1,3,0,3,1,4,0,-24,8
Mexico,Canada,56,87,1307,5,Ornella Rivera,25:19,9,4/12,3/6,1/6,0/1,1,4,5,1,2,1,3,0,-10,8
Mexico,Canada,56,87,1307,6,Valeria Tapia,21:19,14,4/5,4/4,0/1,6/6,1,1,2,0,1,2,1,0,-21,14
Mexico,Canada,56,87,1307,7,Yarelli Padilla,17:35,2,0/4,0/2,0/2,2/2,2,2,4,1,1,3,1,0,-10,1
Mexico,Canada,56,87,1307,8,Abdi Xicontencatl,06:06,0,0/2,0/1,0/1,0/0,0,2,2,0,2,1,1,0,-9,0
Mexico,Canada,56,87,1307,9,Diana Villalobos,15:04,1,0/3,0/0,0/3,1/2,0,2,2,1,2,2,0,0,-23,-2
Mexico,Canada,56,87,1307,10,Daniela Sanchez,25:42,0,0/5,0/4,0/1,0/0,0,4,4,2,0,2,0,0,-25,-1
Mexico,Canada,56,87,1307,11,Celilly Telles,19:24,9,3/13,2/7,1/6,2/3,0,1,1,0,0,4,1,0,-7,-4
Mexico,Canada,56,87,1307,12,Itzel Figueroa,11:22,0,0/1,0/1,0/0,0/0,1,1,2,0,2,1,1,1,-3,2
Mexico,Canada,56,87,1307,13,Hazel Barajas,06:42,0,0/0,0/0,0/0,0/0,0,0,0,0,2,0,0,0,-9,0
Mexico,Canada,56,87,1307,14,Carmen Gonzalez,14:48,8,2/5,2/4,0/1,4/5,0,1,1,2,2,2,1,0,-11,6
Mexico,Canada,56,87,1307,15,Nohemi Rosales,10:50,6,1/3,1/3,0/0,4/4,0,2,2,0,1,0,0,0,-3,6
Canada,Mexico,87,56,1307,4,Libby Epoch,19:21,6,2/6,0/0,2/6,0/0,1,3,4,4,2,3,3,0,13,10
Canada,Mexico,87,56,1307,5,Mikaela Brewer,22:09,11,4/11,1/3,3/8,0/0,3,1,4,4,4,3,1,0,14,10
Canada,Mexico,87,56,1307,6,Mikaela Dodig,20:38,8,3/5,1/2,2/3,0/0,1,3,4,2,2,0,0,0,18,12
Canada,Mexico,87,56,1307,7,Halle Bovell,17:41,0,0/2,0/1,0/1,0/0,0,1,1,2,0,2,1,0,15,0
Canada,Mexico,87,56,1307,8,Summer Masikewich,24:54,9,4/12,4/12,0/0,1/2,6,7,13,0,3,4,0,0,9,9
Canada,Mexico,87,56,1307,9,Kendra Van Leeuwen,17:41,1,0/5,0/0,0/5,1/2,0,3,3,1,2,3,0,0,2,-4
Canada,Mexico,87,56,1307,10,Hailey Brown,26:46,12,4/7,4/7,0/0,4/6,5,7,12,4,1,1,1,2,29,25
Canada,Mexico,87,56,1307,11,Alyssa Jerome,20:29,14,5/13,5/10,0/3,4/5,3,4,7,3,2,1,2,2,19,18
Canada,Mexico,87,56,1307,13,Aislinn Konig,19:20,19,6/10,1/1,5/9,2/2,1,4,5,5,3,3,2,0,25,24
Canada,Mexico,87,56,1307,14,Andrea Torres,10:54,7,2/4,2/3,0/1,3/3,2,1,3,0,3,3,1,0,11,6
Venezuela,Brazil,50,68,1307,4,Odeth Betancourt,12:52,2,1/3,1/3,0/0,0/2,2,4,6,0,3,2,4,0,-4,6
Venezuela,Brazil,50,68,1307,5,Yorgelis Alvarez,12:30,3,1/2,0/0,1/2,0/0,1,0,1,1,0,0,0,0,2,4
Venezuela,Brazil,50,68,1307,6,Luisanny Zapata,12:55,6,3/6,3/5,0/1,0/0,0,0,0,0,2,3,0,0,-6,0
Venezuela,Brazil,50,68,1307,7,Guadalupe Diaz,20:47,4,2/7,2/5,0/2,0/0,0,1,1,3,0,0,2,0,-12,5
Venezuela,Brazil,50,68,1307,8,Leudys Quevedo,06:19,0,0/0,0/0,0/0,0/0,0,0,0,0,0,1,0,0,-7,-1
Venezuela,Brazil,50,68,1307,9,Aguehil Fajardo,27:07,10,4/9,4/7,0/2,2/2,1,3,4,0,2,1,0,0,-14,8
Venezuela,Brazil,50,68,1307,10,Josberly Torres,22:07,8,3/8,2/5,1/3,1/1,0,2,2,1,3,1,0,0,7,5
Venezuela,Brazil,50,68,1307,11,Adeimar Alcantara,13:44,6,2/4,1/2,1/2,1/2,0,2,2,0,1,4,0,0,-6,1
Venezuela,Brazil,50,68,1307,12,Dayenlys Veliz,18:34,4,1/7,1/7,0/0,2/2,2,1,3,0,1,0,0,0,-5,1
Venezuela,Brazil,50,68,1307,13,Maria Quero,21:07,6,2/4,2/3,0/1,2/2,0,2,2,4,2,5,5,0,-19,10
Venezuela,Brazil,50,68,1307,14,Yanetsy Zamaro,16:13,0,0/2,0/1,0/1,0/0,1,1,2,1,2,1,1,0,-4,1
Venezuela,Brazil,50,68,1307,16,Geralis Flores,15:38,1,0/7,0/4,0/3,1/2,3,0,3,1,2,3,1,0,-22,-5
Brazil,Venezuela,68,50,1307,4,Maria Paula Albiero,10:38,2,0/3,0/2,0/1,2/2,0,2,2,2,0,3,0,0,-10,0
