country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Belgium,France,64,60,1807,4,Elise Ramette,29:41,17,4/11,2/5,2/6,7/9,0,2,2,5,2,4,2,1,4,14
Belgium,France,64,60,1807,5,Julie Allemand,33:02,6,1/7,1/4,0/3,4/8,1,9,10,4,2,3,1,0,7,8
Belgium,France,64,60,1807,6,Sofia Ouahabi,15:27,3,1/5,0/3,1/2,0/0,0,2,2,0,3,2,0,0,-7,-1
Belgium,France,64,60,1807,7,Eva Devliegher,13:27,3,1/3,0/0,1/3,0/0,0,3,3,1,0,0,0,0,10,5
Belgium,France,64,60,1807,9,Laure Resimont,03:17,0,0/1,0/0,0/1,0/0,0,1,1,0,0,0,0,0,-2,0
Belgium,France,64,60,1807,11,Fauve Bastiaenssen,34:27,5,2/7,2/3,0/4,1/2,1,1,2,0,1,1,0,0,4,0
Belgium,France,64,60,1807,12,Heleen Nauwelaers,27:25,9,4/7,3/4,1/3,0/0,2,5,7,1,3,5,1,0,3,10
Belgium,France,64,60,1807,13,Laura Henket,14:59,9,1/3,1/3,0/0,7/7,2,3,5,0,2,2,1,0,-3,11
Belgium,France,64,60,1807,14,Laeticia Mpoyi Wa Mpoyi,04:28,0,0/1,0/1,0/0,0/0,0,0,0,0,2,1,0,0,0,-2
Belgium,France,64,60,1807,15,Serena-Lynn Geldof,23:41,12,6/9,6/9,0/0,0/0,3,1,4,0,5,1,1,1,4,14
France,Belgium,60,64,1807,4,Leslie Makosso,04:48,0,0/2,0/2,0/0,0/0,1,1,2,0,0,1,0,0,-2,-1
France,Belgium,60,64,1807,5,Marylie Limousin,26:42,9,3/8,0/0,3/8,0/0,0,4,4,2,1,2,3,0,12,11
France,Belgium,60,64,1807,6,Victoria Majekodunmi,31:23,17,6/17,6/15,0/2,5/5,1,0,1,3,3,2,0,0,-4,8
France,Belgium,60,64,1807,7,Marie-Michelle Milapie,28:53,10,3/13,3/13,0/0,4/5,5,1,6,2,4,3,1,1,13,6
France,Belgium,60,64,1807,8,Clarisse Legrand,17:51,4,1/6,1/4,0/2,2/2,2,2,4,1,4,1,2,0,-11,5
France,Belgium,60,64,1807,9,Louise Dambach,21:30,11,3/5,2/3,1/2,4/6,0,7,7,0,5,2,3,0,11,15
France,Belgium,60,64,1807,10,Rose Ducret,08:29,0,0/1,0/0,0/1,0/0,1,0,1,0,0,2,1,0,-14,-1
France,Belgium,60,64,1807,11,Alizée Girardet,09:15,0,0/6,0/1,0/5,0/0,1,0,1,0,1,0,1,0,-4,-4
France,Belgium,60,64,1807,12,Catherine Mosengo Masa,09:00,3,1/5,1/5,0/0,1/2,0,4,4,0,0,0,0,1,-15,3
France,Belgium,60,64,1807,13,Mathilde Combes,21:02,4,1/1,1/1,0/0,2/2,2,2,4,1,3,1,0,0,-15,8
France,Belgium,60,64,1807,14,Camille Cirgue,20:59,2,1/2,1/1,0/1,0/0,0,1,1,0,2,0,0,0,9,2
France,Belgium,60,64,1807,15,Angélina Turmel,00:03,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Korea,Brazil,51,82,1807,4,Juyeon Lee,21:29,2,1/4,1/4,0/0,0/0,3,0,3,1,2,4,2,0,-21,1
Korea,Brazil,51,82,1807,5,Hyeongkyeong Kim,19:04,1,0/8,0/3,0/5,1/2,1,3,4,2,4,5,1,0,-22,-6
Korea,Brazil,51,82,1807,6,Hyeona Kim,14:06,1,0/4,0/1,0/3,1/2,0,2,2,0,0,1,2,0,-10,-1
Korea,Brazil,51,82,1807,7,Jiwoo Lee,16:21,9,3/8,0/3,3/5,0/0,0,2,2,0,4,1,1,0,-3,6
Korea,Brazil,51,82,1807,8,Jihyun Cha,20:16,11,4/7,3/6,1/1,2/5,0,0,0,1,3,3,0,0,-13,3
Korea,Brazil,51,82,1807,9,Ji Su Park,23:57,11,4/12,4/12,0/0,3/4,0,6,6,2,3,6,2,3,-14,9
Korea,Brazil,51,82,1807,10,Dayeong Eom,13:01,5,2/4,2/3,0/1,1/2,2,0,2,0,3,0,0,0,-12,4
Korea,Brazil,51,82,1807,11,Haeun Lee,19:29,2,1/3,1/3,0/0,0/0,0,3,3,1,0,1,1,0,-16,4
Korea,Brazil,51,82,1807,12,Hyeonyi Yu,15:55,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,-14,1
Korea,Brazil,51,82,1807,13,An Jin,17:28,6,3/7,3/6,0/1,0/0,2,2,4,1,3,1,1,1,-14,8
Korea,Brazil,51,82,1807,14,Sunhee Kim,02:45,0,0/0,0/0,0/0,0/0,0,1,1,1,1,0,0,0,1,2
Korea,Brazil,51,82,1807,15,Yeonhee Kim,16:02,3,1/2,1/2,0/0,1/2,1,2,3,0,1,3,1,0,-17,2
Brazil,Korea,82,51,1807,4,Mariane De Carvalho,18:42,5,2/7,2/4,0/3,1/1,1,4,5,3,2,4,1,2,23,7
Brazil,Korea,82,51,1807,5,Tayna Dos Reis,16:59,4,2/4,2/3,0/1,0/0,0,2,2,1,1,1,1,1,13,6
Brazil,Korea,82,51,1807,6,Thayna Silva,18:51,14,7/11,7/8,0/3,0/0,1,4,5,1,3,2,4,1,11,19
Brazil,Korea,82,51,1807,7,Aline Moura,18:54,6,2/10,2/10,0/0,2/2,4,4,8,2,2,1,1,0,14,8
Brazil,Korea,82,51,1807,8,Kananda Benedicto,15:55,5,2/6,1/5,1/1,0/0,2,2,4,1,3,1,1,1,4,7
Brazil,Korea,82,51,1807,9,Larissa Carneiro,14:09,4,1/2,0/1,1/1,1/2,0,0,0,1,0,2,0,0,9,1
Brazil,Korea,82,51,1807,10,Jennifer Nonato,10:23,8,3/4,3/4,0/0,2/3,4,1,5,1,0,0,2,0,9,14
Brazil,Korea,82,51,1807,11,Lays Da Silva,16:08,5,2/4,2/4,0/0,1/4,0,0,0,2,1,1,1,0,14,2
Brazil,Korea,82,51,1807,12,Vitoria Domingos,19:12,8,3/10,2/7,1/3,1/2,2,5,7,3,3,3,1,0,19,8
Brazil,Korea,82,51,1807,13,Gabriela Guimaraes,20:23,19,9/13,9/13,0/0,1/4,3,3,6,0,3,1,4,1,14,22
Brazil,Korea,82,51,1807,14,Bianca Araujo,19:18,4,2/8,2/8,0/0,0/0,2,6,8,3,2,1,1,2,20,11
Brazil,Korea,82,51,1807,15,Monique Pereira,10:59,0,0/1,0/1,0/0,0/0,1,0,1,2,1,2,1,1,5,2
Canada,Mali,71,62,1807,4,Jaelyne Kirkpatrick,18:13,2,0/5,0/1,0/4,2/2,1,2,3,3,1,3,1,2,-4,3
Canada,Mali,71,62,1807,5,Mael Gilles,04:12,2,1/2,1/1,0/1,0/0,0,2,2,0,0,1,0,0,-1,2
Canada,Mali,71,62,1807,6,Bridget Atkinson,21:46,2,1/3,1/3,0/0,0/0,0,2,2,4,3,2,1,0,13,5
Canada,Mali,71,62,1807,7,Daneesha Provo,12:41,11,3/5,2/3,1/2,4/5,0,2,2,1,3,1,0,0,2,10
Canada,Mali,71,62,1807,8,Danielle Garven,13:32,6,0/4,0/2,0/2,6/6,1,4,5,0,3,3,0,1,4,5
Canada,Mali,71,62,1807,9,Emma Piggin,20:31,10,4/8,3/5,1/3,1/4,1,2,3,1,2,1,2,1,11,9
Canada,Mali,71,62,1807,10,Bridget Carleton,30:42,13,3/14,1/8,2/6,5/5,5,4,9,1,2,3,0,0,5,9
Canada,Mali,71,62,1807,11,Lauren Yearwood,24:12,10,3/4,3/4,0/0,4/6,1,6,7,1,1,2,3,1,7,17
Canada,Mali,71,62,1807,12,Maurane Corbin,19:41,9,4/5,4/5,0/0,1/1,2,4,6,1,2,3,0,0,15,12
Canada,Mali,71,62,1807,13,Nancy Kessler,01:53,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,-8,0
Canada,Mali,71,62,1807,14,Julia Chandler,10:49,0,0/2,0/1,0/1,0/0,0,3,3,0,2,3,1,1,6,0
Canada,Mali,71,62,1807,15,Cheyenne Creighton,21:40,6,2/9,2/6,0/3,2/2,2,1,3,0,2,2,0,0,-5,0
Mali,Canada,62,71,1807,4,Aminata Diakite,03:25,0,0/2,0/2,0/0,0/0,1,0,1,1,0,0,0,0,-9,0
Mali,Canada,62,71,1807,5,Astan Soumare,28:22,0,0/10,0/0,0/10,0/0,2,2,4,1,1,1,4,0,1,-2
Mali,Canada,62,71,1807,6,Djeneba N'Diaye,35:35,14,4/25,3/13,1/12,5/12,1,3,4,1,3,7,5,0,-5,-11
Mali,Canada,62,71,1807,8,Kani Keita,06:57,0,0/1,0/1,0/0,0/0,0,1,1,0,0,0,0,0,-8,0
