country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Sweden,Belgium,63,73,0807,4,Sofia Hagg,17:11,7,2/2,0/0,2/2,1/2,1,0,1,0,2,0,1,0,-17,8
Sweden,Belgium,63,73,0807,5,Crystel Bittar,25:19,4,0/1,0/1,0/0,4/8,1,2,3,5,2,4,0,0,4,3
Sweden,Belgium,63,73,0807,6,Gunesh Ozturk,37:13,4,2/6,2/2,0/4,0/0,0,1,1,3,0,3,0,0,-4,1
Sweden,Belgium,63,73,0807,7,Matilda Salen,06:00,0,0/1,0/1,0/0,0/0,0,0,0,0,1,1,0,0,-8,-2
Sweden,Belgium,63,73,0807,8,Vendela Danielsson,03:17,0,0/1,0/1,0/0,0/0,0,0,0,0,0,0,0,0,-3,-1
Sweden,Belgium,63,73,0807,9,Adriana Camber,30:56,14,5/12,3/8,2/4,2/2,0,3,3,1,3,1,0,1,-2,11
Sweden,Belgium,63,73,0807,11,Anna Dahl,07:45,0,0/2,0/0,0/2,0/0,0,1,1,0,2,0,0,0,4,-1
Sweden,Belgium,63,73,0807,12,Lydia Friberg,06:34,4,1/3,1/3,0/0,2/2,0,0,0,1,2,0,0,0,-9,3
Sweden,Belgium,63,73,0807,14,Emilia Stocklassa,35:58,9,4/6,4/5,0/1,1/2,1,5,6,6,4,3,0,2,-10,17
Sweden,Belgium,63,73,0807,15,Fanny Wadling,29:41,21,10/17,10/17,0/0,1/2,4,9,13,2,3,1,1,0,-5,28
Belgium,Sweden,73,63,0807,4,Elise Ramette,33:37,5,2/3,1/1,1/2,0/0,0,7,7,10,3,1,4,0,16,24
Belgium,Sweden,73,63,0807,5,Nora O'Sullivan,08:09,0,0/1,0/1,0/0,0/0,0,2,2,1,1,2,0,0,3,0
Belgium,Sweden,73,63,0807,6,Lynn Hering,03:57,0,0/1,0/1,0/0,0/0,0,0,0,0,1,0,0,0,0,-1
Belgium,Sweden,73,63,0807,9,Laura Baggio,01:33,3,1/1,1/1,0/0,1/1,0,0,0,0,0,0,0,0,1,3
Belgium,Sweden,73,63,0807,10,Laure Resimont,33:38,10,3/8,3/5,0/3,4/4,0,1,1,2,1,3,1,2,9,8
Belgium,Sweden,73,63,0807,11,Fauve Bastiaenssen,19:25,2,0/3,0/0,0/3,2/3,0,1,1,5,3,0,0,0,11,4
Belgium,Sweden,73,63,0807,12,Bethy Mununga,25:03,12,6/8,6/8,0/0,0/0,2,8,10,0,4,1,3,1,17,23
Belgium,Sweden,73,63,0807,13,Laura Henket,35:01,24,10/16,10/16,0/0,4/10,4,4,8,2,1,2,1,0,8,21
Belgium,Sweden,73,63,0807,14,Charlotte Borlee,21:49,6,2/2,0/0,2/2,0/0,1,0,1,0,3,1,1,0,-13,7
Belgium,Sweden,73,63,0807,15,Serena-Lynn Geldof,17:43,11,3/11,3/11,0/0,5/6,1,2,3,1,1,0,0,0,-2,6
Bosnia and Herzegovina,Slovenia,57,61,0807,6,Sandra Azinovic,07:10,0,0/1,0/1,0/0,0/0,0,2,2,0,2,1,0,0,-5,0
Bosnia and Herzegovina,Slovenia,57,61,0807,8,Naida Glotic,30:00,6,3/8,3/8,0/0,0/0,3,4,7,1,1,0,0,0,5,9
Bosnia and Herzegovina,Slovenia,57,61,0807,10,Milina Miseljic,30:22,5,2/10,1/5,1/5,0/0,3,4,7,0,2,2,0,0,-9,2
Bosnia and Herzegovina,Slovenia,57,61,0807,11,Nedzla Kovacevic,38:22,18,7/25,5/17,2/8,2/4,4,8,12,3,1,2,3,1,-3,15
Bosnia and Herzegovina,Slovenia,57,61,0807,13,Melisa Brcaninovic,40:00,20,4/13,1/7,3/6,9/11,2,7,9,6,2,6,2,0,-4,20
Bosnia and Herzegovina,Slovenia,57,61,0807,14,Jovana Markovic,30:00,2,0/6,0/6,0/0,2/2,2,3,5,2,0,1,0,0,-1,2
Bosnia and Herzegovina,Slovenia,57,61,0807,21,Dragana Domuzin,24:03,6,2/4,2/3,0/1,2/3,1,2,3,2,2,4,1,0,-3,5
Slovenia,Bosnia and Herzegovina,61,57,0807,6,Aleksandra Kroselj,19:55,10,4/9,2/4,2/5,0/0,2,2,4,1,4,2,1,0,-2,9
Slovenia,Bosnia and Herzegovina,61,57,0807,7,Marusa Senicar,34:31,4,2/7,2/7,0/0,0/0,5,8,13,2,2,3,1,3,14,15
Slovenia,Bosnia and Herzegovina,61,57,0807,8,Althea Gwashavanhu,16:31,2,1/3,1/3,0/0,0/0,1,4,5,0,3,1,0,4,1,8
Slovenia,Bosnia and Herzegovina,61,57,0807,9,Annamaria Prezelj,33:16,20,7/22,7/20,0/2,6/6,4,3,7,3,1,2,1,0,-3,14
Slovenia,Bosnia and Herzegovina,61,57,0807,10,Eva Stefanoski,18:19,0,0/5,0/4,0/1,0/0,0,6,6,1,5,2,1,0,-2,1
Slovenia,Bosnia and Herzegovina,61,57,0807,12,Zala Friskovec,37:30,22,10/17,9/12,1/5,1/1,4,3,7,2,3,1,5,0,15,28
Slovenia,Bosnia and Herzegovina,61,57,0807,13,Larisa Ocvirk,31:11,3,1/9,0/5,1/4,0/2,0,7,7,1,5,1,1,0,8,1
Slovenia,Bosnia and Herzegovina,61,57,0807,15,Tina Cvijanovic,08:41,0,0/2,0/2,0/0,0/0,0,1,1,0,1,0,0,0,-11,-1
Latvia,Lithuania,78,66,0807,4,Paula Strautmane,32:34,13,5/9,5/8,0/1,3/3,1,2,3,2,2,2,2,1,11,15
Latvia,Lithuania,78,66,0807,6,Maija Gertsone,10:31,11,4/9,3/5,1/4,2/2,0,0,0,0,1,0,1,0,11,7
Latvia,Lithuania,78,66,0807,7,Jete Nulle,07:52,0,0/0,0/0,0/0,0/0,2,0,2,0,0,2,0,0,-1,0
Latvia,Lithuania,78,66,0807,8,Digna Strautmane,33:02,15,5/12,2/7,3/5,2/2,0,4,4,3,3,2,1,0,14,14
Latvia,Lithuania,78,66,0807,9,Dinija Pavelsone,26:58,9,2/6,1/4,1/2,4/4,0,5,5,1,1,1,1,0,16,11
Latvia,Lithuania,78,66,0807,10,Laura Meldere,18:04,9,4/7,3/6,1/1,0/0,1,6,7,3,3,1,0,0,4,15
Latvia,Lithuania,78,66,0807,11,Alise Bruzinska,00:19,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Latvia,Lithuania,78,66,0807,12,Laura Grabe,17:01,1,0/3,0/1,0/2,1/2,0,1,1,2,3,1,1,0,-7,0
Latvia,Lithuania,78,66,0807,13,Sindija Kudule,33:47,10,3/7,1/3,2/4,2/7,1,5,6,6,3,2,1,0,3,12
Latvia,Lithuania,78,66,0807,14,Anna Dreimane,19:46,10,5/8,5/8,0/0,0/0,2,8,10,1,4,3,0,3,9,18
Lithuania,Latvia,66,78,0807,1,Helma Vysniauskaite,04:43,0,0/1,0/1,0/0,0/0,1,0,1,0,1,0,0,0,1,0
Lithuania,Latvia,66,78,0807,3,Urte Slavickaite,07:28,0,0/0,0/0,0/0,0/0,1,1,2,0,1,2,1,0,-7,1
Lithuania,Latvia,66,78,0807,6,Kamile Berenyte,03:31,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,0,0,1,0
Lithuania,Latvia,66,78,0807,7,Gabija Meskonyte,30:40,14,6/14,6/11,0/3,2/3,0,0,0,1,3,6,3,1,-18,4
Lithuania,Latvia,66,78,0807,8,Agne Bobinaite,17:56,7,2/6,0/1,2/5,1/2,2,4,6,0,3,1,1,0,1,8
Lithuania,Latvia,66,78,0807,10,Laurita Jurciute,25:11,10,4/14,3/10,1/4,1/3,1,1,2,2,2,1,1,0,-2,2
Lithuania,Latvia,66,78,0807,11,Gabija Segzdaite,12:07,0,0/2,0/2,0/0,0/0,1,5,6,0,1,0,0,0,-3,4
Lithuania,Latvia,66,78,0807,12,Laura Juskaite,34:00,26,7/19,6/15,1/4,11/14,7,5,12,1,5,3,1,1,-11,23
Lithuania,Latvia,66,78,0807,15,Karolina Visockaite,25:49,0,0/3,0/3,0/0,0/0,3,4,7,1,2,1,1,0,-11,5
Lithuania,Latvia,66,78,0807,19,Brigita Gudelionyte,04:31,1,0/0,0/0,0/0,1/2,1,0,1,0,0,0,0,0,0,1
