college,ncaa_id,college_clean,category
ŽKK Trešnjevka 2009,,ŽKK Trešnjevka 2009,Other
A-Level Athletics,,A-Level Athletics,Other
A.E. Stevenson High School,,A.E. Stevenson High School,Other
A.H. Parker High School,,A.H. Parker High School,Other
Aberdeen Christian High School,,Aberdeen Christian High School,Other
Aberdeen Family YMCA,,Aberdeen Family YMCA,Other
Abilene Christian,2,Abilene Christian,College
Abilene Christian University,2,Abilene Christian,College
Abraham Baldwin Agriculture College,,Abraham Baldwin Agriculture College,College
Academy of Art,30123,Academy of Art,College
Academy of Art University,30123,Academy of Art,College
Academy of Richmond County,,Academy of Richmond County,Other
Academy of Saint Aloysius,,Academy of Saint Aloysius,Other
Academy of the Holy Cross,,Academy of the Holy Cross,Other
ACC,,ACC,Other
Adams State,929,Adams State,College
Adams State University,929,Adams State,College
Adelphi,3,Adelphi,College
Adelphi University,3,Adelphi,College
Adidas Indiana Elite AAU Team,,Adidas Indiana Elite AAU Team,Other
Agape Hoops,,Agape Hoops,Other
Agnes Scott,11324,Agnes Scott College,College
Agnes Scott College,11324,Agnes Scott College,College
AIB College of Business,,AIB College of Business,College
Air Force,721,Air Force,College
Air Force Academy,721,Air Force,College
Air Force Prep Academy,,Air Force Prep Academy,Other
Air Force Preparatory School,,Air Force Prep Academy,Other
Akron,5,Akron,College
Akron University,5,Akron,College
University of Akron,5,Akron,College
Alabama,8,Alabama,College
University of Alabama,8,Alabama,College
Alabama A & M,6,Alabama A&M,College
Alabama A&M,6,Alabama A&M,College
Alabama Southern Community College,,Alabama Southern Community College,Community College
Alabama State,7,Alabama State,College
Alabama-Birmingham,9,Alabama-Birmingham,College
Alabama-Huntsville,10,Alabama-Huntsville,College
University of Alabama-Huntsville,10,Alabama-Huntsville,College
Alameda College,,Alameda College,Community College
Alamo City Aztecs,,Alamo City Aztecs,Other
University of Alaska Anchorage,11,Alaska Anchorage,College
Alaska Anchorage,11,Alaska Anchorage,College
Alaska-Anchorage,11,Alaska-Anchorage,College
Alaska Fairbanks,12,Alaska-Fairbanks,College
Alaska-Fairbanks,12,Alaska-Fairbanks,College
Albany,14,Albany,College
UAlbany,14,Albany,College
University at Albany,14,Albany,College
University of Albany,14,Albany,College
Albany Alexander H.S.,,Albany Alexander H.S.,Other
Albany College of Pharmacy and Health Sciences,,Albany College of Pharmacy and Health Sciences,College
Albertus Magnus,2798,Albertus Magnus,College
Albright College,16,Albright College,College
