ncaa_id,game_id,date,team,opponent,official
721,14148,3/2/2022,Air Force,San Diego St.,Ashley Ellis
721,14148,3/2/2022,Air Force,San Diego St.,Kevin Kizewski
721,14148,3/2/2022,Air Force,San Diego St.,Kaili Kimura
721,14133,1/24/2022,Air Force,Nevada,Roy Gulbeyan
721,14133,1/24/2022,Air Force,Nevada,Anita Ortega
721,14133,1/24/2022,Air Force,Nevada,Shelley Nakasone
721,14144,2/15/2022,Air Force,Boise St.,Brenda Patonja
721,14144,2/15/2022,Air Force,Boise St.,Maj Forsberg
721,14144,2/15/2022,Air Force,Boise St.,Michol Murray
721,14145,2/19/2022,Air Force,Utah St.,Katie Bossenmaier
721,14145,2/19/2022,Air Force,Utah St.,Julie Krommenhock
721,14145,2/19/2022,Air Force,Utah St.,Clarke Stevens
721,14132,1/6/2022,Air Force,Unlv,Cheryll Blue
721,14132,1/6/2022,Air Force,Unlv,Darren Krzesnik
721,14132,1/6/2022,Air Force,Unlv,Laura Rahe
721,14124,11/20/2021,Air Force,Cal St. Fullerton,Rick Thorne
721,14124,11/20/2021,Air Force,Cal St. Fullerton,Robert Strong
721,14124,11/20/2021,Air Force,Cal St. Fullerton,Shelley Nakasone
721,14142,2/5/2022,Air Force,Colorado St.,Chaka Wade
721,14142,2/5/2022,Air Force,Colorado St.,Kevin Kizewski
721,14142,2/5/2022,Air Force,Colorado St.,Kyle Bacon
721,14122,11/14/2021,Air Force,Colorado,Cheryll Blue
721,14122,11/14/2021,Air Force,Colorado,Bob Scofield
721,14122,11/14/2021,Air Force,Colorado,Michael Price
721,14137,1/22/2022,Air Force,San Jose St.,Kevin Kizewski
721,14137,1/22/2022,Air Force,San Jose St.,Ashley Ellis
721,14137,1/22/2022,Air Force,San Jose St.,Julie Krommenhoek
721,14121,11/9/2021,Air Force,Denver,Mollie Mueller
721,14121,11/9/2021,Air Force,Denver,Fred Stuebing
721,14121,11/9/2021,Air Force,Denver,Laura Rahe
721,14136,1/19/2022,Air Force,Fresno St.,Benny Luna
721,14136,1/19/2022,Air Force,Fresno St.,In'Fini Robinson
721,14136,1/19/2022,Air Force,Fresno St.,Melissa Barlow
721,14141,2/2/2022,Air Force,Wyoming,Benny Luna
721,14141,2/2/2022,Air Force,Wyoming,Clarke Stevens
721,14141,2/2/2022,Air Force,Wyoming,Melissa Barlow
721,14127,12/5/2021,Air Force,Long Beach St.,Brian Woods
721,14127,12/5/2021,Air Force,Long Beach St.,Kaili Kimura
