ncaa_id,game_id,date,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
697,6489,3/21/2016,Texas A&M,22,0,Florida State,15,0,"Dee Kantner,  Jesse Dickerson,  Maj Forsberg"
697,6237,2/4/2016,Florida,18,0,Texas A&M,21,1,"Tina Napier,  Metta Roberts,  Brian Garland"
697,6221,11/28/2015,Texas A&M,21,0,Ohio State,23,0,"Mary Day,  Scotty Hermann,  Doug Klenc"
697,6217,11/13/2015,Texas A&M,15,0,Texas State,26,0,"Felicia Grinter,  Gina Cross,  Luis Gonzalez"
697,6240,2/15/2016,Ole Miss,21,0,Texas A&M,19,0,"Bob Trammell,  Cameron Inouye,  Roy Gulbeyan"
697,6241,2/18/2016,Texas A&M,17,1,Lsu,23,0,"Dee Kantner,  Felicia Grinter,  Eric Brewton"
697,6220,11/27/2015,Cal,17,0,Texas A&M,25,0,"SCOTTY HERMANN,  KIM THEBO,  DARREN MCCLURE"
697,6332,11/15/2015,Texas A&M,16,0,Southern,29,0,"Brian Garland,  Angel Stanton,  Kim Thebo"
697,6236,1/31/2016,Texas A&M,21,0,South Carolina,16,0,"Dee Kantner,  Beverly Roberts,  Brian Hall"
697,6246,3/19/2016,Texas A&M,18,0,Missouri State,18,0,"Jesse Dickerson,  Angie Enlund,  Richard Waters"
697,6231,1/10/2016,Lsu,16,0,#13/10 Texas A&M,16,0,"Tina Napier,  Luis Gonzalez,  Troy Winders"
697,6227,12/22/2015,Texas A&M,12,0,Little Rock,19,0,"Mark Zentz,  Dawn Marsh,  Chaney Muench"
697,6226,12/20/2015,Oklahoma,22,0,Texas A&M,21,0,"Tina Napier,  Jesse Dickerson,  Bryan Enterline"
697,6230,1/7/2016,Arkansas,13,0,#13/10 Texas A&M,14,0,"Mark Zentz,  Metta Roberts,  Charlie Hust"
697,6229,1/3/2016,Texas A&M,19,0,Georgia,25,1,"Gina Cross,  Michael McConnell,  Frank Steratore"
697,6244,2/28/2016,Texas A&M,14,0,Kentucky,19,0,"Lisa Mattingly,  Brian Hall,  Amy Bonner"
697,6225,12/12/2015,Texas A&M,15,0,DePaul,14,0,"Beverly Roberts,  Bob Trammell,  Kylie Galloway"
697,6233,1/17/2016,South Carolina,14,0,#15/11 Texas A&M,21,0,"Lisa Mattingly,  Bryan Enterline,  Brian Garland"
697,6232,1/14/2016,Texas A&M,14,0,Ole Miss,19,0,"Denise Brooks,  Amy Bonner,  Eric Koch"
697,6224,12/7/2015,Texas A&M,17,0,Smu,19,0,"Lisa Mattingly,  Tina Napier,  Kevin Pethtel"
697,6479,3/4/2016,Texas A&M,22,0,Tennessee,11,0,"DEE KANTNER,  ERIC BREWTON,  ERIC KOCH"
697,6228,12/29/2015,Texas A&M,9,0,Prairie View A&M,18,1,"Maj Forsberg,  Eric Koch,  Greg Small"
697,6223,12/5/2015,Texas A&M,21,1,Byu,14,0,"Laura Rahe,  Ashley Ellis,  Ken Sowby"
697,6235,1/28/2016,Alabama,15,1,Texas A&M,18,0,"Felicia Grinter,  Cameron Inouye,  Frank Steratore"
