ncaa_id,game_id,date,start_time,location,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
721,14148,3/2/2022,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,18,0,San Diego St.,18,0,"Ashley Ellis,  Kevin Kizewski,  Kaili Kimura"
721,14559,3/20/2022,2:00 PM,"Pauley Pavilion, Los Angeles, CA",Ucla,15,0,Air Force,17,0,"Esther  Hsu,  Nicole Leon,  Kim Hobbs"
721,14125,11/24/2021,1:00 PM,"Christl Arena, West Point, NY",Army West Point,17,0,Air Force,24,0,"Ashlee Goode,  Nyesha Thompson,  Tom Danaher"
721,14133,1/24/2022,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,11,0,Nevada,14,0,"Roy Gulbeyan,  Anita Ortega,  Shelley Nakasone"
721,14144,2/15/2022,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,10,0,Boise St.,12,0,"Brenda Patonja,  Maj Forsberg,  Michol Murray"
721,14129,12/21/2021,11:00 AM,"Don Haskins Center, El Paso, TX",Utep,19,0,Air Force,35,1,"Nate Acosta,  Shandra Twine,  Jess Martinez"
721,14128,12/18/2021,3:00 PM,"Burns Arena, St. George, UT",Dixie St.,17,0,Air Force,16,0,"Rick Thorne,  Stacie Bowe,  Tiffany Bird"
721,14145,2/19/2022,1:00 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,13,0,Utah St.,13,0,"Katie Bossenmaier,  Julie Krommenhock,  Clarke Stevens"
721,14132,1/6/2022,7:00 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,17,1,Unlv,11,0,"Cheryll Blue,  Darren Krzesnik,  Laura Rahe"
721,14124,11/20/2021,1:00 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,19,0,Cal St. Fullerton,22,0,"Rick Thorne,  Robert Strong,  Shelley Nakasone"
721,14558,3/17/2022,5:00 PM,"War Memorial at the Sobrato Center, San Francisco, CA",San Francisco,15,0,Air Force,20,0,"Devaughn Brazier,  Breana Fields,  Danielle Johnson"
721,14142,2/5/2022,1:00 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,17,0,Colorado St.,15,0,"Chaka Wade,  Kevin Kizewski,  Kyle Bacon"
721,14139,1/29/2022,2:00 PM,"Cox Pavilion, Las Vegas, NV",Unlv,13,0,Air Force,23,0,"Rigo Vasquez,  Robert Strong,  Lisa Jones"
721,14123,11/17/2021,5:00 PM,"Jenny Craig Pavilion, San Diego, CA",San Diego,22,0,Air Force,21,0,Tiffany Bird
721,14135,1/15/2022,2:00 PM,"Arena-Auditorium, Laramie, WY",Wyoming,18,0,Air Force,24,0,"Peter Contreras,  Robert  Strong,  Tiffany Bird"
721,14134,1/13/2022,6:00 PM,"Moby Arena, Fort Collins, CO",Colorado St.,14,1,Air Force,18,0,"Michol Murray,  Bill Buck,  In'Fini Robinson"
721,14122,11/14/2021,2:00 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,16,0,Colorado,13,0,"Cheryll Blue,  Bob Scofield,  Michael Price"
721,14138,1/27/2022,6:00 PM,"Steve Fisher Court at Viejas Arena, San Diego, CA",San Diego St.,18,0,Air Force,14,0,"Brad Schmidt,  Rick Thorne,  Alecia Murray"
721,14155,3/7/2022,2:30 PM,"Thomas & Mack Center, Las Vegas, NV",Nevada,15,0,Air Force,14,0,"Scott Osborne,  Tiffany Bird,  Michol Murray"
721,14143,2/9/2022,7:00 PM,"The Pit, Albuquerque, NM",New Mexico,13,0,Air Force,18,0,"Ify Seales,  Darren Krzesnik,  Brian Woods"
721,14137,1/22/2022,3:00 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,13,0,San Jose St.,13,0,"Kevin Kizewski,  Ashley Ellis,  Julie Krommenhoek"
721,14121,11/9/2021,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,19,0,Denver,22,0,"Mollie Mueller,  Fred Stuebing,  Laura Rahe"
721,14136,1/19/2022,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,15,0,Fresno St.,18,0,"Benny Luna,  In'Fini Robinson,  Melissa Barlow"
721,14141,2/2/2022,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,17,0,Wyoming,10,0,"Benny Luna,  Clarke Stevens,  Melissa Barlow"
721,14131,12/31/2021,3:00 PM,"Dee Glen Smith Spectrum, Logan, UT",Utah St.,17,0,Air Force,18,0,"Julie Krommenhoek,  Shelley Nakasone,  Lisa Jones"
721,14127,12/5/2021,2:00 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,18,0,Long Beach St.,18,0,"Brian Woods,  Kaili Kimura,  Chuck Gonzalez"
721,14234,12/2/2021,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,15,0,Regis (CO),6,0,"Maj Forsberg,  Michael Price,  Lisa Jones"
721,14146,2/23/2022,11:00 AM,"Provident Credit Union Event Center, San Jose, CA",San Jose St.,11,0,Air Force,15,0,"Darren Krzesnik,  Nicole Leon,  Bob Scofield"
721,14147,2/26/2022,2:00 PM,"Save Mart Center, Fresno, CA",Fresno St.,10,1,Air Force,22,0,"Jen Zylstra,  Scott Fruehling,  Brad Schmidt"
721,14556,3/8/2022,5:00 PM,"Thomas & Mack Center, Las Vegas, NV",Unlv,12,0,Air Force,22,0,"Anita Ortega,  Chuck Gonzalez,  Lisa Jones"
721,14235,12/8/2021,6:30 PM,"Clune Arena, U.S. Air Force Academy, CO",Air Force,11,0,UC-Colo. Springs,14,0,"Felesity Willis,  In'Fini Robinson,  Melissa Barlow"
721,14126,11/27/2021,2 p.m.,"Norfolk, Va. (Echols Hall)",Norfolk State,19,0,Air Force,17,0,"Edward Matthews,  Paulette Franklin,  Gabrielle Mortis"
721,14130,12/28/2021,6:30 PM,"Lawlor Events Center, Reno, NV",Nevada,16,0,Air Force,21,1,"Benny Luna,  Ken Nash,  Melissa Barlow"
697,18184,11/11/2021,7:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,17,0,Southern U.,23,1,"Talisa Green,  Jody Cantrell,  Natsha Camy"
697,18192,12/20/2021,2:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,11,0,Utsa,18,0,"Ify Seales,  Saif Esho,  Karen Preato"
697,18106,11/27/2021,7:00 PM,"UVI Sports and Fitness Center, Charlotte Amalie West",Texas A&M,21,0,Northwestern,18,0,"Krystle Apellaniz,  Jeff Smith,  Rod Creech"
697,18385,2/27/2022,2:00 PM,"Stegeman Coliseum, Athens, GA",Georgia,9,0,Texas A&M,21,0,"Timothy Greene,  Katie Lukanich,  Kevin Pethel"
697,18188,12/5/2021,3:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,21,0,Texas,17,0,"Frank Steratore,  Angelica Suffren,  Dee Kantner"
697,18189,12/9/2021,7:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,7,0,Texas Southern,17,0,"Stephanie Barksdale,  Meadow Overstreet,  Eric Brewton"
697,18384,2/24/2022,7:30 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,20,0,South Carolina,14,0,"Nykesha Thompson,  Douglas Knight,  Joe Vaszily"
697,18185,11/15/2021,7:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,18,0,DePaul,17,0,"Eric Brewton,  Karen Preato,  Roy Gulbeyan"
697,18376,1/20/2022,7:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,12,0,Ole Miss,17,0,"Douglas Knight,  Brian Garland,  Cameron Inouye"
697,18383,2/20/2022,5:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,18,0,Alabama,22,0,"Bill Larance,  Ify Seales,  Katie Lukanich"
697,18382,2/17/2022,8:00 PM,"The Sandy and John Black Pavilion at Ole Miss, Oxford, MS",Ole Miss,21,0,Texas A&M,18,0,"Eric Koch,  Roy Gulbeyan,  Denise Brooks"
697,18357,2/10/2022,7:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,16,0,Vanderbilt,16,0,"Natasha Camy,  Kevin Pethel,  Karen Preato"
697,18377,1/23/2022,5:00 PM,"Mizzou Arena, Columbia, MO",Missouri,13,1,Texas A&M,19,1,"Jody Cantrell,  Talisa Green,  Michael McConnell"
697,18374,1/13/2022,7:00 PM,"Colonial Life Arena, Columbia, SC",South Carolina,15,0,Texas A&M,13,0,"Timothy Greene,  Denise Brooks,  Beverly Roberts"
697,18358,1/2/2022,2:00 PM,"Maravich Assembly Center, Baton Rouge, LA",Lsu,13,0,Texas A&M,20,0,"Timothy Greene,  Nykesha Thompson,  Kevin Pethtel"
697,18378,1/30/2022,3:00 PM,"Starkville, MS",Mississippi State,15,0,Texas A&M,18,0,"Karleena Tobin, Brian Hall, Felicia Grinter"
697,18381,2/13/2022,2:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,23,0,Lsu,12,0,"Teresa Stuck,  Michael McConnell,  Eric Brewton"
697,18483,3/2/2022,11:00 AM,"Bridgestone Arena, Nashville, TN",Texas A&M,21,1,Vanderbilt,21,1,"Natasha Camy,  Denise Brooks,  Pulani Spurlock"
697,18380,2/6/2022,12:00 PM,"Memorial Coliseum, Lexington, KY",Kentucky,19,0,Texas A&M,17,0,"Natasha Camy,  Luis Gonzalez,  Brian Garland"
697,18379,2/3/2022,8:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,19,0,Arkansas,16,0,"Felicia Grinter,  Katie Lukanich,  Michael McConnell"
697,18359,1/6/2022,6:30 PM,"Thompson-Boling Arena, Knoxville, TN",Tennessee,12,0,Texas A&M,14,0,"Saif Esho,  Eric Brewton,  Gina Cross"
697,18375,1/16/2022,4:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,19,0,Auburn,17,0,"Demoya Williams,  Katie Lukanich,  Brian Hall"
697,18104,11/25/2021,8:00 PM,"UVI Sports and Fitness Center, Charlotte Amalie West",Texas A&M,21,0,Pittsburgh,18,0,"Cori Chambers,  Mark Resch,  Bruce Morris"
697,18190,12/12/2021,1:00 PM,"Ed and Rae Schollmaier Arena, Fort Worth, TX",Tcu,27,0,Texas A&M,26,0,"Tiffany Bird,  Brian Hall,  Felicia Grinter"
697,18186,11/18/2021,7:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,20,0,Sfa,29,2,"Fatou Cissoko-Stephens,  Eric Koch,  Maggie Tieman"
697,18373,1/9/2022,2:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,24,0,Florida,27,0,"Bryan Enterline,  Michael McConnell,  Pualani Spurlock-Welsh"
697,18187,12/1/2021,11:00 AM,"Reed Arena, Bryan-College Station, TX",Texas A&M,14,0,Little Rock,13,0,"Fatou Cissoko-Stephens,  Jody Cantrell,  Bryan Enterline"
697,18105,11/26/2021,7:00 PM,"UVI Sports and Fitness Center, Charlotte Amalie West",South Dakota,16,0,Texas A&M,18,0,"Sarah  Williams,  Ed Sidlasky,  Bruce  Morris"
8,13336,11/14/2021,2:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,20,0,Tulane,14,0,"Stephanie Barksdale,  Teresa Stuck,  Joseph Vaszily"
8,13361,1/30/2022,5:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,17,0,Missouri,15,0,"Christopher Sauceda,  Meadow Overstreet,  Beverly Roberts"
8,13619,3/3/2022,8:30 PM,"Bridgestone Arena, Nashville, TN",Georgia,16,0,Alabama,17,0,"Natahsa Camy,  Michael  McConnell,  Pulani Spurlock-Welsh"
8,13341,11/28/2021,1:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,21,0,Bethune-Cookman,14,0,"Ify Seales,  Ashlee Goode,  Cameron  Inouye"
8,13357,1/13/2022,6:00 PM,"The Sandy and John Black Pavilion at Ole Miss, Oxford, MS",Ole Miss,23,0,Alabama,19,0,"Talisa Green,  Roy Gulbeyan,  Gina Cross"
8,13356,1/9/2022,3:00 PM,"Stegeman Coliseum, Athens, GA",Georgia,14,0,Alabama,14,0,"Meadow Overstreet,  Brian Garland,  Joseph  Vascily"
8,13340,11/26/2021,2:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,13,0,Western Caro.,21,0,"Starr  Jefferson,  Greg Small,  Douglas Knight"
8,13360,1/23/2022,3:00 PM,"Auburn Arena, Auburn, AL",Auburn,21,0,Alabama,17,0,"Metta Christensen,  Roy Gulbeyan,  Eric Brewton"
8,13622,3/4/2022,8:30 PM,"Bridgestone Arena, Nashville, TN",Tennessee,18,0,Alabama,17,2,"Karleena Tobin,  Kevin Pethtel,  Brian Garland"
8,13337,11/17/2021,6:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,15,0,Southern Miss.,21,0,"Royce Blevins,  Ashlee Goode,  Beverly Roberts"
8,13629,3/24/2022,6:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,11,0,Houston,23,0,"Metta Christensen,  Bryan Enterline,  Kylie Galloway"
8,13367,2/24/2022,7:00 PM,"Maravich Assembly Center, Baton Rouge, LA",Lsu,9,0,Alabama,18,0,"Natasha Camy,  Kevin Pethtel,  Roy Gulbeyan"
8,13598,3/2/2022,1:25 PM,"Bridgestone Arena, Nashville, TN",Alabama,22,0,Auburn,20,0,"Cameron Inouye,  Angelica Suffren,  Dee Kantner"
8,13366,2/20/2022,5:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,18,0,Alabama,22,0,"Bill Larance,  Ify Seales,  Katie Lukanich"
8,13632,3/27/2022,5:00 PM,"Frost Arena, Brookings, SD",South Dakota St.,5,0,Alabama,13,0,"Mark Berger,  Cameron Inouye,  Michael  McConnell"
8,13628,3/21/2022,6:30 PM,"Avron B. Fogelman Arena in Devlin Fieldhouse, New Orleans, LA",Tulane,18,0,Alabama,16,1,"Chaney Muench,  Eric Koch,  Bill Larance"
8,13353,12/30/2021,6:30 PM,"Thompson-Boling Arena, Knoxville, TN",Tennessee,13,0,Alabama,16,0,"Timothy Greene,  Katie Lukanich,  Beverly Roberts"
8,13345,12/13/2021,11:30 AM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,13,0,Sam Houston,18,0,"Jody Cantrell,  Fatou CIssoko-Stephans,  Dawn Marsh"
8,13365,2/17/2022,6:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,21,0,Tennessee,17,0,"Karen Preato,  Brian Garland,  Cameron Inouye"
8,13626,3/17/2022,6:00 PM,"Trojan Arena, Troy, AL",Troy,19,0,Alabama,9,0,"Keisha Brown,  Kelly Johnson,  Kylie Galloway"
8,13364,2/13/2022,1:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,13,0,Kentucky,13,0,"Maggie Tieman,  Angelica Suffren,  Mark  Zentz"
8,13368,2/27/2022,2:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,14,0,Vanderbilt,20,1,"Teresa Stuck,  Brian Enterline,  Joesph Vaszily"
8,13344,12/5/2021,2:00 PM,"McKenzie Arena, Chattanooga, TN",Chattanooga,21,0,Alabama,18,0,"Shawnie Smith,  Chad Tucker,  Ed Novak"
8,13359,1/20/2022,8:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,17,0,Arkansas,10,0,"Luis Gonzalez,  Katie Lukanich,  Denise Brooks"
8,13363,2/6/2022,2:00 PM,"Memorial Gymnasium, Nashville, TN",Vanderbilt,19,0,Alabama,20,0,"Talisa Tubner,  Roy Gulbeyan,  Brian Hall"
8,13355,1/6/2022,6:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,14,0,Mississippi St.,13,0,"Luis Gonzalez,  Cameron Inouye,  Angelica Suffren"
8,13343,12/3/2021,6:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,11,0,Houston,20,1,"Christopher Sauceda,  Karleena Tobin,  Kevin Pethtel"
8,13338,11/21/2021,1:00 PM,"Ed and Rae Schollmaier Arena, Fort Worth, TX",Duke,17,0,Alabama,24,0,"Ashlee Goode,  Natasha Camy,  Scott Yarbrough"
8,13339,11/24/2021,6:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,12,0,Mercer,10,0,"Meadow Overstreet,  William L. Smith,  Karen Preato"
8,13342,11/30/2021,6:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,12,0,Memphis,15,0,"Nykesha Thompson,  Eric  Koch,  Beverly Roberts"
8,13354,1/2/2022,4:00 PM,"Coleman Coliseum, Tuscaloosa, AL",Alabama,22,1,Auburn,20,0,"Saif Esho,  Maggie Tieman,  William Smith"
