date,start_time,location,official
2024-10-29,6:00 PM,Garth Pleasant Arena,Jeremy Williams
2024-10-29,6:00 PM,Garth Pleasant Arena,Joshua Pluma
2024-10-29,6:00 PM,Garth Pleasant Arena,Michelle Fidelduco
2024-11-01,10:30 AM,"Langley Events Centre, Langley",Blake Cruzen
2024-11-01,10:30 AM,"Langley Events Centre, Langley",Michael Thorner
2024-11-01,10:30 AM,"Langley Events Centre, Langley",Rolando Calapiz
2024-11-01,11:00 AM,"Alterowitz Gymnasium, Billings, MT",Sabrina Earle
2024-11-01,11:00 AM,"First United Bank Center, Canyon, TX",Randall Arbuckle
2024-11-01,11:00 AM,"Alterowitz Gymnasium, Billings, MT",Craig Thompson
2024-11-01,11:00 AM,"Alterowitz Gymnasium, Billings, MT",Taylor Mink
2024-11-01,11:00 AM,"First United Bank Center, Canyon, TX",Bennie Lovejoy
2024-11-01,11:00 AM,"First United Bank Center, Canyon, TX",Johnny Atwood
2024-11-01,12:45 PM,"Langley Events Centre, Langley",Lezley Smith
2024-11-01,12:45 PM,"Langley Events Centre, Langley",Alex Gruneberg
2024-11-01,12:45 PM,"Langley Events Centre, Langley",Josiah Mccallister
2024-11-01,1:00 PM,"Alterowitz Gymnasium, Billings, MT",Courtnie Duncan
2024-11-01,1:00 PM,"Alterowitz Gymnasium, Billings, MT",Maggie Dewall
2024-11-01,1:00 PM,"Alterowitz Gymnasium, Billings, MT",Gretchen Fowell
2024-11-01,4:00 PM,"First United Bank Center, Canyon, TX",Scotty Hermann
2024-11-01,4:00 PM,"First United Bank Center, Canyon, TX",Tommy Prosise
2024-11-01,4:00 PM,"First United Bank Center, Canyon, TX",Randy Martin
2024-11-01,7:00 PM,"Alaska Airlines Center, Anchorage, AK",Wendy Newman
2024-11-01,7:00 PM,"Alaska Airlines Center, Anchorage, AK",James Leitch
2024-11-01,7:00 PM,"Alaska Airlines Center, Anchorage, AK",Tom Turcotte
2024-11-01,7:30 PM,"Langley Events Centre, Langley",Steve Landro
2024-11-01,7:30 PM,"Langley Events Centre, Langley",Brihtani Lassiter Burgoyne
2024-11-01,7:30 PM,"Langley Events Centre, Langley",Michael Hanson
2024-11-01,9:00 AM,"Alterowitz Gymnasium, Billings, MT",Shawn Schroeder
2024-11-01,9:00 AM,"Alterowitz Gymnasium, Billings, MT",Jeremy Kuns
2024-11-01,9:00 AM,"Alterowitz Gymnasium, Billings, MT",Katelyn Hansen
2024-11-02,11:00 AM,"First United Bank Center, Canyon, TX",Haley Johnson
