team_id,team_short_display_name,resid_entropy,resid_versatility,raw_entropy_norm,rank_resid,rank_raw,rank_delta
147,Montana St,0.5776367577835864,0.6102488484940906,0.9691857238653506,64,2,-62
325,Cleveland St,0.8670139959579218,0.8774681936423101,0.4513538027366704,14,74,60
2599,St John's,0.8976260978091156,0.9022989770272338,0.6806879718254423,10,59,49
238,Vanderbilt,0.6256463033365294,0.6605457987648238,0.9181032864228663,59,11,-48
277,West Virginia,0.681084423372336,0.7279416149304365,0.9560896397816936,49,3,-46
2272,High Point,0.6592729740471894,0.7050323292148444,0.9264380544017448,54,8,-46
333,Alabama,0.9044494226945865,0.9184689715921779,0.7266424522020943,6,51,45
2579,South Carolina,0.8759610617946689,0.8957224512316334,0.7397113824860402,13,50,37
194,Ohio State,0.7350200143729771,0.7867371276213271,0.9345792935985027,43,6,-37
2754,Youngstown St,0.6398290176257379,0.670212840417667,0.8910973873072197,56,20,-36
2514,Quinnipiac,0.6440895994689553,0.7127790641739914,0.8671023694987485,55,24,-31
2348,Louisiana Tech,0.9125124880173621,0.9249157549204475,0.7988560936873688,5,35,30
151,East Carolina,0.8409068769095583,0.8548543689109831,0.7428809955779877,20,49,29
26,UCLA,0.6180070893914497,0.6101430868922757,0.8065195349909926,61,32,-29
261,Vermont,0.5531857438869549,0.5382153376865098,0.7886227190550713,65,37,-28
120,Maryland,0.7957956130437167,0.8398794520243005,0.9405877304431082,30,5,-25
2198,E Kentucky,0.9014677183440539,0.9157880190380785,0.8093554098210032,7,31,24
183,Syracuse,0.7219823379574917,0.7652428730889064,0.5640479657357185,44,67,23
47,Howard,0.6711933663065982,0.7039249678419872,0.44116042016532486,52,75,23
38,Colorado,0.6739920577359664,0.701492138900097,0.46597255604668336,50,73,23
2294,Iowa,0.8568509476337591,0.871349108176313,0.7884563469455962,17,38,21
290,GA Southern,0.7664187068051549,0.781778500066107,0.9070259634146501,38,17,-21
93,Murray St,0.6148851977549706,0.6827697926886391,0.7791621316390542,62,41,-21
36,Colorado St,0.8105302228319786,0.8198826480136991,0.7454566240942139,28,48,20
9,Arizona St,0.7677851160044723,0.7894485387907755,0.692647456831258,37,57,20
135,Minnesota,0.8399366234728447,0.8774267597553083,0.7827462373684031,21,40,19
2571,S Dakota St,0.8076355518285259,0.8490978744015638,0.919997609908161,29,10,-19
197,Oklahoma St,0.9143222957095734,0.9255410381264816,0.8807541501697206,4,22,18
2641,Texas Tech,0.8174011885506912,0.8188931864348237,0.770283305077116,26,44,18
2628,TCU,0.7355963256460364,0.7649857497132582,0.6781495010062898,42,60,18
127,Michigan St,0.96399895921442,0.96939105733981,0.8996003641538952,1,18,17
66,Iowa State,0.7704477862723533,0.8108103268520133,0.8934444992249492,36,19,-17
259,Virginia Tech,0.672648062259892,0.6964322638707542,0.6115905721914457,51,66,15
204,Oregon St,0.5425316794173886,0.5880922864150262,0.7237883460895189,67,52,-15
256,James Madison,0.4734390906643,0.5512735702049213,0.6932961366358965,71,56,-15
232,Charleston,0.9485152520122585,0.9506246086743098,0.9100582700666431,3,16,13
302,UC Davis,0.32687693799789624,0.3143460160309127,0.6431327438444814,75,62,-13
145,Ole Miss,0.770564332124613,0.8173288081384532,0.759449933665755,35,47,12
96,Kentucky,0.7748596891154043,0.8136420753585482,0.7599183460467887,34,46,12
193,Miami OH,0.7148285396697928,0.7593683443830421,0.8055982151839979,45,33,-12
68,Boise St,0.8418337618058385,0.8561176438703395,0.8126365701378957,19,30,11
201,Oklahoma,0.8372012623474364,0.8494479069096621,0.8050699795353563,23,34,11
2449,N Dakota St,0.7793588140938078,0.796315692110406,0.882465891037452,32,21,-11
2653,Troy,0.5286326246425291,0.5383716026510952,0.6810505879488568,69,58,-11
227,Rhode Island,0.8284494964143486,0.865615091259269,0.9152366175840396,24,14,-10
21,San Diego St,0.7788830870098732,0.8182585113531522,0.7740749919408394,33,43,10
2458,N Colorado,0.7540533335176423,0.7899207129828962,0.8199186064906836,39,29,-10
242,Rice,0.8440780331900957,0.8819788591359988,0.8539633760524877,18,26,8
222,Villanova,0.8589119885462871,0.8825328010987799,0.9257915280489305,16,9,-7
70,Idaho,0.6931102812731299,0.7295064296797309,0.6948826039727919,48,55,7
2217,Fairfield,0.5149671572908414,0.5921366200182847,0.323286078035319,70,77,7
2377,McNeese,0.3193599298562306,0.32328913880759147,0.5574081022031723,76,69,-7
239,Baylor,0.8398891357752628,0.8692631833804169,0.8270549992407323,22,28,6
2032,Arkansas St,0.3777388366190489,0.38362918027523196,0.5598550531311848,73,68,-5
2815,Lindenwood,0.898216717362128,0.9180353240295843,0.9156090650391137,9,13,4
349,Army,0.8992937792785206,0.9138872570818775,0.9523358085479574,8,4,-4
300,UC Irvine,0.897152558559492,0.9089103087063476,0.9284778073927249,11,7,-4
2050,Ball State,0.787729380755843,0.8320952656948106,0.8514782607177291,31,27,-4
41,UConn,0.8170793730989552,0.8148147889743935,0.870736577481828,27,23,-4
233,South Dakota,0.7469105810843619,0.7778373933930842,0.7896300232021217,40,36,-4
130,Michigan,0.6993645886770735,0.7388244894710128,0.7786176830505808,46,42,-4
276,Marshall,0.6251899360226353,0.6641138185956809,0.6339073325436431,60,64,4
61,Georgia,0.8768812311976704,0.8854711622244151,0.9133533407074742,12,15,3
97,Louisville,0.8622996491594765,0.8770489736973057,0.9170117140259505,15,12,-3
2617,SF Austin,0.638733282436875,0.6850483897406039,0.698762821288988,57,54,-3
294,Jacksonville,0.6311085712819585,0.6729248499046419,0.6756329110570827,58,61,3
99,LSU,0.5410663462482455,0.5931838397099284,0.4987445902991775,68,71,3
2541,Santa Clara,0.5461673206174815,0.5525717746335492,0.6347198757697888,66,63,-3
2250,Gonzaga,0.7357164687001649,0.7502542039556648,0.7860810141094681,41,39,-2
150,Duke,0.6975161947396017,0.7416793071377832,0.7616678790467142,47,45,-2
2739,Green Bay,0.5919746406654344,0.5794379148229685,0.6266778786575415,63,65,2
257,Richmond,0.46569751168257734,0.4978181678826166,0.5038465362202417,72,70,-2
2710,W Illinois,0.363180221164353,0.4286922413797559,0.46887575653770985,74,72,-2
153,North Carolina,0.9501080940787681,0.9582259197542731,0.9857894312806454,2,1,-1
251,Texas,0.0535694510155895,0.04770169808288714,0.3661071489067903,77,76,-1
163,Princeton,0.8258486999122264,0.8516307708862318,0.8599319153788285,25,25,0
161,FDU,0.665245574884432,0.6951249556977158,0.7030911166350129,53,53,0
