rank,program,network,time,duration,rating,viewers,date
1,TNT NCAA BSKBL CHP-PRFR2: IONA VS NORTH CAROLINA,TURNER NETWORK TELEVISION,9:21 PM,130,1.04,"3,013",2019-03-22
2,TBS NCAA BSKBL CHP-DYFR2: OREGON VS WISCONSIN,TBS NETWORK,4:35 PM,145,0.85,"2,750",2019-03-22
3,TBS NCAA BSKBL CHP-PRFR2: OHIO ST VS IOWA ST,TBS NETWORK,9:38 PM,139,0.81,"2,606",2019-03-22
4,TNT NCAA BSKBL CHP-PRFR1: WASHINGTON VS UTAH ST,TURNER NETWORK TELEVISION,6:40 PM,145,0.61,"1,784",2019-03-22
5,TRU NCAA BSKBL CHP-PRFR1: LIBERTY VS MISSISSIPPI ST,TRUTV,7:32 PM,144,0.49,"1,533",2019-03-22
6,TNT NCAA BSK CHP-BRG-PRFR,TURNER NETWORK TELEVISION,9:05 PM,16,0.44,"1,330",2019-03-22
7,GOLD RUSH: SPECIAL,DISCOVERY CHANNEL,9:00 PM,60,0.44,"1,892",2019-03-22
8,TBS NCAA BSKBL CHP-PRFR1: GEORGIA ST VS HOUSTON,TBS NETWORK,7:07 PM,137,0.40,"1,187",2019-03-22
9,TNT NCAA BSKBL CHP-DYFR2: ARIZONA ST VS BUFFALO,TURNER NETWORK TELEVISION,4:02 PM,158,0.37,"1,121",2019-03-22
10,SELECCION MEXICO FRI: MEXICO / CHILE,UNIVISION DEPORTES,10:00 PM,142,0.35,835,2019-03-22
11,TRU NCAA BSKBL CHP-PRFR2: SAINT LOUIS VS VIRGINIA TECH,TRUTV,10:21 PM,138,0.32,891,2019-03-22
12,TRU NCAA BSK CHP-BRG-PRFR,TRUTV,9:56 PM,25,0.32,"1,006",2019-03-22
13,GOLD RUSH:WHITE WATER SPC,DISCOVERY CHANNEL,10:00 PM,62,0.32,"1,297",2019-03-22
14,TBS NCAA BSK CHP-BRG-PRFR,TBS NETWORK,9:24 PM,14,0.31,941,2019-03-22
15,TRU NCAA BSKBL CHP-DYFR2: GARDNER-WEBB VS VIRGINIA,TRUTV,3:05 PM,135,0.31,"1,164",2019-03-22
16,TBS NCAA BSKBL CHP-DYFR1: UC IRVINE VS KANSAS ST,TBS NETWORK,1:51 PM,147,0.31,"1,046",2019-03-22
17,TBS NCAA BSK CHP-BRG-DYFR,TBS NETWORK,4:18 PM,17,0.31,998,2019-03-22
18,TUCKER CARLSON TONIGHT,FOX NEWS CHANNEL,8:00 PM,60,0.30,"3,199",2019-03-22
19,RACHEL MADDOW SHOW,MSNBC,9:00 PM,60,0.30,"2,904",2019-03-22
20,"DINERS, DRIVE INS & DIVES",FOOD NETWORK,9:00 PM,30,0.29,"1,087",2019-03-22
21,RIDICULOUSNESS SSN13,MTV,8:00 PM,31,0.29,612,2019-03-22
22,MY LOTTERY DREAM HOME,HOME AND GARDEN TV,9:00 PM,30,0.28,"1,635",2019-03-22
23,REAL TIME WITH BILL MAHER,HBO PRIME,10:00 PM,57,0.27,"1,505",2019-03-22
24,HANNITY,FOX NEWS CHANNEL,9:00 PM,60,0.23,"3,132",2019-03-22
25,ANDERSON COOPER 360,CNN,8:00 PM,60,0.22,"1,056",2019-03-22
26,LAST WORD W/ L. ODONNELL,MSNBC,10:00 PM,60,0.21,"1,969",2019-03-22
27,SPORTSCENTER 12AM  L,ESPN,12:30 AM,90,0.21,459,2019-03-22
28,SITUATION ROOM,CNN,6:00 PM,60,0.20,968,2019-03-22
29,SPORTSCENTER AM      L,ESPN,7:00 AM,60,0.20,440,2019-03-22
30,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,11:00 PM,60,0.20,886,2019-03-22
31,MAMA JUNE FROM NOT TO HOT,WETV,9:00 PM,60,0.19,672,2019-03-22
32,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,6:00 PM,60,0.19,"2,163",2019-03-22
33,ERIN BURNETT OUTFRONT,CNN,7:00 PM,60,0.19,938,2019-03-22
34,HARDBALL WITH C. MATTHEWS,MSNBC,7:00 PM,60,0.19,"1,778",2019-03-22
35,"INGRAHAM ANGLE, THE",FOX NEWS CHANNEL,10:00 PM,60,0.19,"2,434",2019-03-22
36,ANCIENT ALIENS AC,HISTORY,9:02 PM,61,0.19,958,2019-03-22
37,FIRST TAKE   L: N/A,ESPN,10:00 AM,120,0.19,450,2019-03-22
38,ALL IN W/ CHRIS HAYES,MSNBC,8:00 PM,60,0.18,"1,828",2019-03-22
39,SITUATION ROOM,CNN,5:00 PM,60,0.18,"1,036",2019-03-22
40,ANCIENT ALIENS AC,HISTORY,12:03 AM,60,0.18,724,2019-03-22
41,"OFFICE, THE",NICK-AT-NITE,10:30 PM,30,0.18,507,2019-03-22
42,SPECIAL RPT W/BRET BAIER,FOX NEWS CHANNEL,5:18 PM,42,0.18,"2,361",2019-03-22
43,GHOST ADV REPACK: HISTORIC HAUNTINGS,TRAVEL CHANNEL,9:00 PM,120,0.18,471,2019-03-22
44,"STORY, THE",FOX NEWS CHANNEL,7:00 PM,60,0.18,"1,870",2019-03-22
45,TNT NCAA BSKBL CHP-DYFR1: NORTHERN KY VS TEXAS TECH,TURNER NETWORK TELEVISION,1:22 PM,145,0.18,600,2019-03-22
46,BLAZE & THE MONSTER MCHNS,NICKELODEON,12:00 PM,30,0.18,814,2019-03-22
47,"OFFICE, THE",NICK-AT-NITE,10:00 PM,30,0.17,579,2019-03-22
48,BEAT W/ARI MELBER,MSNBC,6:00 PM,60,0.17,"1,970",2019-03-22
49,SECRETS OF THE MORGUE,INVESTIGATION DISCOVERY,10:00 PM,60,0.17,862,2019-03-22
50,GET UP   L: N/A,ESPN,8:00 AM,120,0.17,423,2019-03-22
51,"FIVE, THE",FOX NEWS CHANNEL,5:00 PM,18,0.17,"2,205",2019-03-22
52,ANDERSON COOPER 360,CNN,9:00 PM,60,0.17,891,2019-03-22
53,TRU NCAA BSK POST GAME-FR,TRUTV,12:43 AM,56,0.16,446,2019-03-22
54,MY 600-LB LIFE: SUPER SIZ: N/A,TLC,10:00 PM,120,0.16,588,2019-03-22
55,DONT BE TARDY,BRAVO,9:00 PM,30,0.16,552,2019-03-22
56,SPORTSCENTER MORNING    L,ESPN,2:00 AM,60,0.16,350,2019-03-22
57,SPORTSCENTER AM      L,ESPN,12:00 PM,60,0.16,314,2019-03-22
58,ANCIENT ALIENS AC,HISTORY,8:00 PM,60,0.15,863,2019-03-22
59,11TH HOUR W/B. WILLIAMS,MSNBC,11:00 PM,60,0.15,"1,537",2019-03-22
60,TRU NCAA BSKBL CHP-DYFR1: OKLAHOMA VS OLE MISS,TRUTV,12:34 PM,135,0.15,597,2019-03-22
61,ELEAGUE,TBS NETWORK,12:35 AM,60,0.15,350,2019-03-22
62,FOX NEWS AT NIGHT,FOX NEWS CHANNEL,11:00 PM,60,0.14,"1,308",2019-03-22
63,CNN TONIGHT,CNN,10:00 PM,60,0.14,886,2019-03-22
64,CONTACTO DEPORTIVO L,UNIVISION DEPORTES,12:22 AM,60,0.14,299,2019-03-22
65,ANCIENT ALIENS AC,HISTORY,1:05 AM,61,0.14,634,2019-03-22
66,THIS IS NOT HAPPENING,COMEDY CENTRAL,11:00 PM,30,0.14,289,2019-03-22
67,FOX AND FRIENDS,FOX NEWS CHANNEL,8:00 AM,60,0.14,"1,657",2019-03-22
68,FOX AND FRIENDS,FOX NEWS CHANNEL,7:00 AM,60,0.14,"1,342",2019-03-22
69,MTP DAILY,MSNBC,5:00 PM,60,0.13,"1,718",2019-03-22
70,CNN TONIGHT,CNN,11:00 PM,60,0.13,667,2019-03-22
71,MY 600-LB LIFE: SUPER SIZ: N/A,TLC,8:00 PM,120,0.13,584,2019-03-22
72,CNN NEWSROOM,CNN,3:00 PM,60,0.13,657,2019-03-22
73,FUTBOL CENTRAL FRI,UNIVISION DEPORTES,9:30 PM,30,0.12,257,2019-03-22
74,ANIMAL CRIBS,ANIMAL PLANET,9:00 PM,61,0.12,523,2019-03-22
75,LEAD WITH JAKE TAPPER,CNN,4:00 PM,60,0.12,631,2019-03-22
76,FOX AND FRIENDS,FOX NEWS CHANNEL,6:00 AM,60,0.12,"1,021",2019-03-22
77,TNT NCAA BSK CHP-BRG-DYFR,TURNER NETWORK TELEVISION,3:47 PM,15,0.12,419,2019-03-22
78,AMERICAS NEWSROOM,FOX NEWS CHANNEL,11:00 AM,60,0.11,"1,363",2019-03-22
79,COLLEGE WRESTLING   L: NCAA WRSTLNG CHAMPIONSHIP,ESPN,8:00 PM,178,0.11,407,2019-03-22
80,CNN NEWSROOM,CNN,9:00 AM,60,0.11,661,2019-03-22
81,OUTNUMBERED,FOX NEWS CHANNEL,12:00 PM,60,0.11,"1,370",2019-03-22
82,AMERICAS NEWSROOM,FOX NEWS CHANNEL,10:00 AM,60,0.11,"1,429",2019-03-22
83,MORNING JOE: N/A,MSNBC,6:00 AM,180,0.11,"1,084",2019-03-22
84,SYDNEY TO THE MAX,DISNEY CHANNEL,8:30 PM,30,0.11,517,2019-03-22
85,AMERICAS NEWSROOM,FOX NEWS CHANNEL,9:00 AM,60,0.11,"1,527",2019-03-22
86,CNN NEWSROOM,CNN,2:00 PM,60,0.11,613,2019-03-22
87,DEADLINE:WHITE HOUSE,MSNBC,4:00 PM,60,0.10,"1,388",2019-03-22
88,SPORTSCENTER LATE       L,ESPN,10:58 PM,92,0.10,233,2019-03-22
89,AT THIS HOUR,CNN,11:00 AM,60,0.10,652,2019-03-22
90,INSIDE POLITICS,CNN,12:00 PM,60,0.10,604,2019-03-22
91,OTL – FIRST REPORT   L,ESPN,1:00 PM,30,0.09,201,2019-03-22
92,FUTBOL CENTRAL L,UNIVISION DEPORTES,9:00 PM,30,0.09,201,2019-03-22
93,OUTNUMBERED OVERTIME,FOX NEWS CHANNEL,1:00 PM,60,0.09,"1,172",2019-03-22
94,CNN NEWSROOM,CNN,10:00 AM,60,0.09,692,2019-03-22
95,BRIDEZILLAS,WETV,10:00 PM,60,0.09,286,2019-03-22
96,NEW DAY,CNN,8:00 AM,60,0.09,568,2019-03-22
97,YOUR WORLD W/NEIL CAVUTO,FOX NEWS CHANNEL,4:00 PM,60,0.09,"1,050",2019-03-22
