NO,NAME,SCHOOL,CITY,STATE,STATUS,INVITED
,Janelle Bailey,Providence Day School,Matthews,NC,,
,Jeannie Boehm,Harvard,Winnetka,IL,Team,
,Chennedy Carter,Timberview H.S.,Arlington,TX,Team,
,Charli Collier,Barbers Hill H.S.,Baytown,TX,,
,Sidney Cooks,Saint Joseph H.S.,Kenosha,WI,,
,Mikayla Coombs,Wesleyan School,Norcross,GA,,
,Gabby Cooper,Syracuse,Lansing,IL,,
,Crystal Dangerfield,Connecticut,Murfreesboro,TN,Team,
,Shug Dickson,Tulsa,St. Louis,MO,,
,Kathleen Doyle,Iowa,LaGrange Park,IL,,
,Dana Evans,West Side H.S.,Gary,IN,,
,Nadia Fingall,Stanford,Navarre,FL,,
,Tyasha Harris,South Carolina,Noblesville,IN,Team,
,Ruthy Hebard,Oregon,Fairbanks,AK,Team,
,Tamara Henshaw,South Florida,Palm Coast,FL,,
,Becca Hittner,Drake,Urbandale,IA,,
,Joyner Holmes,Texas,Cedar Hill,TX,Team,
,Stephanie Jones,Maryland,Havre de Grace,MD,,
,Jordan Lewis,Alabama,Windermere,FL,,
,Tori McCoy,,Champaign,IL,,
,Aarion McDonald,Washington,Fresno,CA,,
,Minyon Moore,Southern California,Hercules,CA,,
,Kayla Overbeck,Vanderbilt,Newbury Park,CA,Team,
,Sedona Prince,Liberty Hill H.S.,Liberty Hill,TX,,
,Reili Richardson,Arizona State,Brea,CA,Team,
,Kylee Shook,Louisville,Colorado Springs,CO,,
,Amber Smith,Missouri,Shreveport,LA,,
,Alecia Sutton,Texas,St. Louis,MO,Team,
,Megan Walker,Monacan H.S.,Chesterfield,VA,Team,
,Evina Westbrook,South Salem H.S.,Salem,OR,,
,Christyn Williams,Central Arkansas Christian School,Little Rock,AR,Team,
,Jocelyn Willoughby,Virginia,East Orange,NJ,,
,Aaliyah Wilson,Arkansas,Muskogee,OK,,
,Bella Alarie,Princeton,Bethesda,MD,Team,
