team,team_id,season,jersey,name,position,height,academic_year,hometown,high_school,previous_school,url
Air Force,721,2026-27,0,Jordyn DeVaughn,G,"5'6""",Senior,"Little Elm, Texas",Lone Star HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/jordyn-devaughn/28819
Air Force,721,2026-27,1,Alexis Cortez,G,"5'11""",Senior,"Allen, Texas",Allen HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/alexis-cortez/28818
Air Force,721,2026-27,3,Felicity McFillin,G,"5'7""",Sophomore,"Gladwyne, PA",Archbishop John Carroll HS / USAFA Prep,,https://goairforcefalcons.com/sports/womens-basketball/roster/felicity-mcfillin/28962
Air Force,721,2026-27,4,AJ Mannering,G,"5'8""",Sophomore,"Peyton, Colo.",Peyton HS / USAFA Prep,,https://goairforcefalcons.com/sports/womens-basketball/roster/aj-mannering/28825
Air Force,721,2026-27,8,Chloe Parker,G,"5'8""",Freshman,"Highlands Ranch, Colo.",Riverdale Ridge HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/chloe-parker/29224
Air Force,721,2026-27,9,Maddy Jensen,G,"5'7""",Sophomore,"Brookfield, Wisc.",Brookfield Central HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/maddy-jensen/28822
Air Force,721,2026-27,10,Jayda McNabb,G,"5'10""",Senior,"Rapid City, S.D.",Stevens HS / USAFA Prep,,https://goairforcefalcons.com/sports/womens-basketball/roster/jayda-mcnabb/28826
Air Force,721,2026-27,11,Eva Love,G,"5'9""",Sophomore,"Albuquerque, N.M.",La Cueva HS / USAFA Prep,,https://goairforcefalcons.com/sports/womens-basketball/roster/eva-love/28824
Air Force,721,2026-27,12,Morgan Ainsworth,G,"5'10""",Freshman,"Palmer, Alaska",Colony HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/morgan-ainsworth/29222
Air Force,721,2026-27,13,Keelie O'Hollaren,G,"5'10""",Senior,"Lake Oswego, Ore.",Lakeridge HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/keelie-ohollaren/28827
Air Force,721,2026-27,14,Carson Fayard,G,"5'10""",Freshman,"Niceville, Fla.",Niceville HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/carson-fayard/29227
Air Force,721,2026-27,20,Marisa Taylor,F,"6'3""",Freshman,"Kennesaw, GA",Valor Christian,,https://goairforcefalcons.com/sports/womens-basketball/roster/marisa-taylor/29226
Air Force,721,2026-27,22,Dixon McLanahan,G,"5'11""",Freshman,"Folsom, Calif.",Folsom HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/dixon-mclanahan/29225
Air Force,721,2026-27,23,Julia Leach,F,"6'2""",Sophomore,"Greenwood Village, Colo.",Cherry Creek HS,USAFA Prep,https://goairforcefalcons.com/sports/womens-basketball/roster/julia-leach/28823
Air Force,721,2026-27,24,Marissa Hargrave,G,"5'8""",Senior,"El Paso, Texas",Andress HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/marissa-hargrave/28821
Air Force,721,2026-27,44,Taylor Sipfle,F,"6'4""",Freshman,"Gilbert, Ariz.",Hamilton HS,,https://goairforcefalcons.com/sports/womens-basketball/roster/taylor-sipfle/29223
Texas A&M,697,2026-27,0,Kaniya Boyd,G,5-9,Junior,"Las Vegas, Nev.",,Tennessee,https://12thman.com/sports/womens-basketball/roster/player/kaniya-boyd
Texas A&M,697,2026-27,2,Miyah Verse,F,6-1,Senior,"Dayton, Ohio",,Georgia,https://12thman.com/sports/womens-basketball/roster/player/miyah-verse
Texas A&M,697,2026-27,3,Rieyan DeSouze,G,5-7,Freshman,"DeSoto, Texas",,,https://12thman.com/sports/womens-basketball/roster/player/rieyan-desouze
Texas A&M,697,2026-27,4,Chaney Spencer,G,5-9,Sophomore,"Montgomery, Texas",,,https://12thman.com/sports/womens-basketball/roster/player/chaney-spencer
Texas A&M,697,2026-27,5,Vanessa Saidu,F,6-2,Senior,"Minneapolis, Minn.",,,https://12thman.com/sports/womens-basketball/roster/player/vanessa-saidu
Texas A&M,697,2026-27,7,Pien Steenbergen,G,6-1,5th,"Berlicum, Netherlands",,Liberty,https://12thman.com/sports/womens-basketball/roster/player/pien-steenbergen
